team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name
3,1,47,2,143,0.4,0,0,0,0,4,0,0,0,0,0,4,0,18,28.8,0,0,2.9,0.2,David,Ospina
3,1,54,134,3097,24.8,0,0,0,12,37,1,0,0,2,0,115,2,660,819.8,0.1,0,82,13.7,Petr,Cech
3,2,61,121,2821,19.8,2,1,3,10,37,0,0,0,4,1,0,19,723,831.2,53.9,239,112.7,11.2,Laurent,Koscielny
3,2,48,1,38,0.2,0,0,0,0,1,0,0,0,0,0,0,0,5,17.8,0.1,0,1.8,0.2,Per,Mertesacker
3,2,48,45,1517,9.4,0,0,0,5,18,0,0,0,6,0,0,2,296,295.8,84.5,119,50,0.8,Gabriel Armando,de Abreu
3,2,65,119,2503,18.3,1,5,2,10,34,0,0,0,4,0,0,12,569,437.6,508.3,395,133.8,13.9,Héctor,Bellerín
3,2,47,45,702,9.6,0,1,1,6,3,0,0,0,3,0,0,3,201,142.4,171.4,117,43.1,1.7,Kieran,Gibbs
3,2,46,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.4,0,0.2,0.2,Mathieu,Debuchy
3,2,48,2,82,0.4,0,0,0,0,1,0,0,0,0,0,0,0,12,19.4,2,0,2.1,0.1,Carl,Jenkinson
3,2,59,115,3153,19.5,0,3,1,11,43,0,0,0,5,0,0,9,681,554,280.3,220,105.8,6.4,Nacho,Monreal
25,2,43,83,2250,19.3,2,1,0,7,37,0,0,0,4,0,0,7,499,692.2,107,80,88,3.4,Calum,Chambers
3,3,117,264,3217,22.6,24,11,9,13,41,0,0,1,6,0,0,32,834,1357.8,1278.3,1896,453.4,29.7,Alexis,Sánchez
3,3,72,122,1916,16.9,10,3,2,8,26,0,0,1,1,0,0,7,380,541.8,280.5,1023,184.1,4.2,Theo,Walcott
3,3,95,167,2841,17.6,8,11,3,12,30,0,0,0,2,0,0,19,729,834.4,1649.3,734,322,7.5,Mesut,Özil
3,3,70,38,618,5.4,2,2,0,4,5,0,0,0,2,0,0,5,159,198.2,221.7,89,50.8,1.4,Santiago,Cazorla
3,3,76,56,1236,7.4,1,4,0,4,20,0,0,0,3,0,0,3,240,257.2,361.2,496,111.3,1.1,Aaron,Ramsey
91,3,58,61,1950,10.5,0,3,0,5,45,0,0,0,4,0,0,2,312,308.4,544.4,321,116.8,0.5,Jack,Wilshere
3,3,58,83,1564,14.3,2,7,1,4,22,0,0,0,1,0,0,3,393,435.4,519.9,416,137.5,1.4,Alex,Oxlade-Chamberlain
3,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serge,Gnabry
3,3,42,52,1779,12.4,0,1,0,5,27,0,0,0,5,0,0,1,303,291.6,314.1,117,72.4,1.9,Francis,Coquelin
3,3,53,89,1456,16.8,3,5,1,9,20,0,0,0,1,0,0,8,352,326.4,467.8,592,138.7,1.1,Alex,Iwobi
3,3,45,26,694,5.8,0,1,0,3,9,0,0,0,1,0,0,0,133,89,108.6,116,31.1,0.4,Mohamed,Elneny
