team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,first_name,second_name,assists_1_17_18,attempted_passes_1_17_18,big_chances_created_1_17_18,big_chances_missed_1_17_18,bonus_1_17_18,bps_1_17_18,clean_sheets_1_17_18,clearances_blocks_interceptions_1_17_18,completed_passes_1_17_18,creativity_1_17_18,dribbles_1_17_18,errors_leading_to_goal_1_17_18,errors_leading_to_goal_attempt_1_17_18,fouls_1_17_18,goals_conceded_1_17_18,goals_scored_1_17_18,ict_index_1_17_18,influence_1_17_18,key_passes_1_17_18,minutes_1_17_18,offside_1_17_18,open_play_crosses_1_17_18,own_goals_1_17_18,penalties_conceded_1_17_18,penalties_missed_1_17_18,penalties_saved_1_17_18,recoveries_1_17_18,red_cards_1_17_18,saves_1_17_18,selected_1_17_18,tackled_1_17_18,tackles_1_17_18,target_missed_1_17_18,threat_1_17_18,total_points_1_17_18,value_1_17_18,winning_goals_1_17_18,yellow_cards_1_17_18,team_code_17_18,element_type_17_18,total_points_17_18,now_cost_17_18
21.0,2.0,51.0,60.0,2115.0,11.8,0.0,2.0,0.0,5.0,35.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,334.0,307.6,284.7,121.0,71.2,0.3,3069,24.1,1,7,0,10,60,0,0,0,7,0,0,10,613,690.2,562.7,193,145.0,3.2,Aaron,Cresswell,0,10,0,0,0,3,0,0,9,0.6,0,0,0,0,2,0,1.9,0.4,0,9,0,0,0,0,0,0,0,0,0,25136,0,0,0,18.0,0,50,0,0,21,2,118,50
11.0,3.0,55.0,22.0,509.0,4.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,78.0,93.4,54.0,22.3,0.2,1906,12.0,0,4,0,6,30,0,0,0,2,0,0,0,204,232.2,203.2,297,73.3,0.2,Aaron,Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4681,0,0,0,0.0,0,55,0,0,90,3,65,55
38.0,3.0,43.0,16.0,289.0,3.2,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,55.8,15.5,54.0,22.3,0.0,3066,21.7,4,3,2,10,52,0,0,0,4,0,0,8,576,753.2,848.8,350,195.2,4.7,Aaron,Mooy,1,52,0,0,0,22,1,5,41,46.9,0,0,0,0,0,0,8.7,40.2,3,90,0,1,0,0,0,0,5,0,0,59955,2,0,0,0.0,6,55,0,0,38,3,113,55
3.0,3.0,76.0,56.0,1236.0,7.4,1.0,4.0,0.0,4.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,240.0,257.2,361.2,496.0,111.3,1.1,1844,19.1,7,10,3,9,25,0,0,0,0,0,0,12,503,631.2,478.3,734,184.2,4.5,Aaron,Ramsey,0,11,0,1,0,16,0,0,8,11.2,0,0,0,0,0,1,6.7,29.6,1,23,0,0,0,0,0,0,2,0,0,33792,0,0,3,26.0,6,70,0,0,3,3,130,70
91.0,1.0,44.0,8.0,180.0,1.8,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,37.0,34.4,0.0,0.0,3.5,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,2.2,Adam,Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,224542,0,0,0,0.0,0,40,0,0,91,1,0,40
14.0,3.0,67.0,139.0,2338.0,20.7,8.0,7.0,3.0,9.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,543.0,679.4,693.0,825.0,219.5,9.1,234,1.8,0,0,0,1,1,0,0,0,1,0,0,0,37,32.6,113.4,128,27.3,0.3,Adam,Lallana,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,45019,0,0,0,0.0,0,75,0,0,14,3,13,75
91.0,2.0,46.0,104.0,3101.0,22.6,1.0,5.0,1.0,8.0,61.0,1.0,0.0,0.0,6.0,0.0,0.0,12.0,645.0,566.6,509.8,242.0,132.1,7.0,2067,11.7,1,3,0,2,38,0,0,0,6,0,0,3,376,455.0,345.5,144,94.5,0.4,Adam,Smith,0,6,0,0,0,2,0,1,6,0.6,0,0,0,0,0,0,0.3,2.2,0,10,0,0,0,0,0,0,0,0,0,50168,1,0,0,0.0,1,50,0,0,91,2,56,50
11.0,3.0,50.0,16.0,289.0,3.2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,55.8,15.5,193.0,26.1,0.0,153,2.0,0,1,0,0,6,0,0,0,0,0,0,0,30,12.0,20.5,43,7.5,0.1,Ademola,Lookman,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8034,0,0,0,0.0,0,55,0,0,11,3,10,55
57.0,2.0,40.0,15.0,562.0,3.8,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,121.0,162.6,12.7,26.0,20.1,0.4,2206,14.1,0,0,1,6,43,0,0,0,4,0,0,2,378,462.0,59.4,106,62.8,4.9,Adrian,Mariappa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,171365,0,0,0,0.0,0,40,0,0,57,2,58,40
35.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3386,24.8,2,0,1,10,55,0,0,0,4,0,0,11,646,962.8,99.5,196,126.1,17.8,Ahmed El-Sayed,Hegazi,0,25,0,0,3,39,1,12,18,10.3,0,0,0,1,0,1,12.1,57.8,1,90,0,0,0,0,0,0,3,0,0,90370,0,0,1,53.0,15,45,1,0,35,2,114,45
