team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,first_name,second_name,assists_1_18_19,attempted_passes_1_18_19,big_chances_created_1_18_19,big_chances_missed_1_18_19,bonus_1_18_19,bps_1_18_19,clean_sheets_1_18_19,clearances_blocks_interceptions_1_18_19,completed_passes_1_18_19,creativity_1_18_19,dribbles_1_18_19,errors_leading_to_goal_1_18_19,errors_leading_to_goal_attempt_1_18_19,fouls_1_18_19,goals_conceded_1_18_19,goals_scored_1_18_19,ict_index_1_18_19,influence_1_18_19,key_passes_1_18_19,minutes_1_18_19,offside_1_18_19,open_play_crosses_1_18_19,own_goals_1_18_19,penalties_conceded_1_18_19,penalties_missed_1_18_19,penalties_saved_1_18_19,recoveries_1_18_19,red_cards_1_18_19,saves_1_18_19,selected_1_18_19,tackled_1_18_19,tackles_1_18_19,target_missed_1_18_19,threat_1_18_19,total_points_1_18_19,value_1_18_19,winning_goals_1_18_19,yellow_cards_1_18_19,team_code_18_19,element_type_18_19,total_points_18_19,now_cost_18_19
21.0,2.0,51.0,60.0,2115.0,11.8,0.0,2.0,0.0,5.0,35.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,334.0,307.6,284.7,121.0,71.2,0.3,21.0,2.0,49.0,118.0,3069.0,24.1,1.0,7.0,0.0,10.0,60.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,613.0,690.2,562.7,193.0,145.0,3.2,1588,6.8,0,1,0,1,26,0,0,0,1,0,0,0,257,318.2,290.9,113.0,72.3,0.5,Aaron,Cresswell,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,103396,0,0,0,0.0,0,55,0,0,21,2,34,55
11.0,3.0,55.0,22.0,509.0,4.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,78.0,93.4,54.0,22.3,0.2,90.0,3.0,54.0,65.0,1906.0,12.0,0.0,4.0,0.0,6.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,204.0,232.2,203.2,297.0,73.3,0.2,1214,8.4,1,1,1,3,22,0,0,0,1,0,0,2,133,151.6,121.2,108.0,38.0,0.3,Aaron,Lennon,0,22,0,1,0,6,1,1,17,12.3,0,0,0,1,0,0,3.9,10.0,0,90,0,1,0,0,0,0,2,0,0,15138,1,2,0,17.0,3,50,0,0,90,3,41,50
38.0,3.0,44.0,6.0,35.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.8,3.9,25.0,3.4,0.0,38.0,3.0,52.0,113.0,3066.0,21.7,4.0,3.0,2.0,10.0,52.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,576.0,753.2,848.8,350.0,195.2,4.7,2326,15.2,3,1,1,3,48,0,0,0,4,0,0,5,411,510.8,725.2,359.0,159.7,1.0,Aaron,Mooy,0,51,0,0,0,24,0,2,40,18.2,1,0,0,1,3,0,3.8,20.2,1,90,0,0,0,0,0,0,11,0,0,192110,1,6,0,0.0,2,55,0,0,38,3,76,55
3.0,3.0,76.0,56.0,1236.0,7.4,1.0,4.0,0.0,4.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,240.0,257.2,361.2,496.0,111.3,1.1,3.0,3.0,68.0,130.0,1844.0,19.1,7.0,10.0,3.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,503.0,631.2,478.3,734.0,184.2,4.5,1319,12.8,4,6,0,9,13,0,0,0,0,0,0,4,298,418.4,387.2,502.0,131.0,0.9,Aaron,Ramsey,0,11,0,0,0,7,0,0,7,10.8,1,0,0,0,1,0,2.9,9.4,1,53,2,0,0,0,0,0,1,0,0,60423,0,2,0,9.0,1,75,0,0,3,3,91,75
31.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,45.0,15.0,627.0,3.3,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,116.0,207.2,60.0,2.0,26.8,0.0,3134,26.1,0,3,2,12,47,0,0,0,4,1,0,18,672,863.4,266.8,139.0,127.1,26.3,Aaron,Wan-Bissaka,1,29,1,0,3,38,1,11,19,14.0,2,0,0,0,0,0,6.0,46.0,1,90,0,0,0,0,0,0,7,0,0,652304,2,0,0,0.0,12,40,0,0,31,2,120,40
38.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,47.0,10.0,217.0,2.1,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,30.8,40.6,53.0,12.4,0.0,48,0.5,0,0,0,0,3,0,0,0,0,0,0,0,6,4.2,0.5,2.0,0.7,0.0,Abdelhamid,Sabiri,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3471,0,0,0,0.0,0,45,0,0,38,3,2,45
54.0,4.0,48.0,6.0,116.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,14.3,22.0,3.5,0.2,54.0,4.0,45.0,2.0,29.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,0.8,4.0,0.7,0.0,688,6.2,3,0,0,1,17,0,0,1,2,0,0,2,82,150.0,149.5,244.0,53.1,5.1,Aboubakar,Kamara,0,15,0,0,0,2,0,0,10,25.6,3,0,0,3,1,0,5.4,6.2,2,29,1,1,0,0,0,0,0,0,0,499362,2,0,1,22.0,1,45,0,0,54,4,28,45
38.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548,4.2,0,1,0,1,16,0,0,0,1,0,0,0,38,40.0,80.6,115.0,23.4,0.0,Adama,Diakhaby,0,5,0,0,0,2,0,0,5,0.3,0,0,0,0,1,0,0.5,4.2,0,19,0,0,0,0,0,0,1,0,0,2723,1,0,0,0.0,1,50,0,0,38,3,19,50
14.0,3.0,67.0,139.0,2338.0,20.7,8.0,7.0,3.0,9.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,543.0,679.4,693.0,825.0,219.5,9.1,14.0,3.0,73.0,13.0,234.0,1.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,32.6,113.4,128.0,27.3,0.3,460,3.3,0,1,0,3,3,0,0,0,1,0,0,0,96,85.4,139.0,113.0,33.8,0.6,Adam,Lallana,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,73838,0,0,0,0.0,0,70,0,0,14,3,23,70
57.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,39.0,1.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.3,0.0,1002,6.0,0,1,0,2,20,0,0,0,5,0,0,1,165,201.0,70.8,27.0,30.1,0.1,Adam,Masina,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5629,0,0,0,0.0,0,45,0,0,57,2,26,45
