team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,first_name,second_name,assists_1_19_20,bonus_1_19_20,bps_1_19_20,clean_sheets_1_19_20,creativity_1_19_20,goals_conceded_1_19_20,goals_scored_1_19_20,ict_index_1_19_20,influence_1_19_20,minutes_1_19_20,own_goals_1_19_20,penalties_missed_1_19_20,penalties_saved_1_19_20,red_cards_1_19_20,saves_1_19_20,selected_1_19_20,threat_1_19_20,total_points_1_19_20,value_1_19_20,yellow_cards_1_19_20,team_code_19_20,element_type_19_20,total_points_19_20,now_cost_19_20
21.0,2.0,51.0,60.0,2115.0,11.8,0.0,2.0,0.0,5.0,35.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,334.0,307.6,284.7,121.0,71.2,0.3,21.0,2.0,49.0,118.0,3069.0,24.1,1.0,7.0,0.0,10.0,60.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,613.0,690.2,562.7,193.0,145.0,3.2,21.0,2.0,50.0,34.0,1588.0,6.8,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,257.0,318.2,290.9,113.0,72.3,0.5,2727,17.6,3,0,2,5,51,0,0,0,7,0,0,5,444,535.4,114,44,441.0,78,15,180.0,214,47,115.9,116,25,1.5,Aaron,Cresswell,0,0,7,0,1.5,5,0,1.1,9.0,90,0,0,0,0,0,23399,0.0,0,50,0,21,2,79,50
11.0,3.0,55.0,22.0,509.0,4.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,78.0,93.4,54.0,22.3,0.2,90.0,3.0,54.0,65.0,1906.0,12.0,0.0,4.0,0.0,6.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,204.0,232.2,203.2,297.0,73.3,0.2,90.0,3.0,49.0,41.0,1214.0,8.4,1.0,1.0,1.0,3.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,133.0,151.6,121.2,108.0,38.0,0.3,485,3.3,0,0,0,0,15,0,0,0,4,0,0,0,51,45.0,428,179,37.8,364,182,12.0,410,189,9.6,426,182,0.1,Aaron,Lennon,0,0,3,0,0.0,0,0,0.2,2.0,6,0,0,0,0,0,8105,0.0,1,50,0,90,3,15,50
36.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,52.0,113.0,3066.0,21.7,4.0,3.0,2.0,10.0,52.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,576.0,753.2,848.8,350.0,195.2,4.7,38.0,3.0,50.0,76.0,2326.0,15.2,3.0,1.0,1.0,3.0,48.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,411.0,510.8,725.2,359.0,159.7,1.0,2079,17.0,2,2,1,6,33,0,0,0,1,1,0,9,337,436.6,165,62,614.9,31,25,291.0,138,75,134.0,87,50,0.4,Aaron,Mooy,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,16261,0.0,0,50,0,36,3,80,50
91.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3330,28.6,0,1,4,5,62,0,1,0,0,0,128,13,680,973.8,11,4,24.0,397,3,0.0,568,54,99.7,154,4,3.2,Aaron,Ramsdale,0,0,11,0,0.0,1,0,1.0,9.8,90,0,0,0,0,2,3091,0.0,2,45,0,91,1,126,45
31.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,45.0,15.0,627.0,3.3,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,116.0,207.2,60.0,2.0,26.8,0.0,31.0,2.0,46.0,120.0,3134.0,26.1,0.0,3.0,2.0,12.0,47.0,0.0,0.0,0.0,4.0,1.0,0.0,18.0,672.0,863.4,266.8,139.0,127.1,26.3,3070,23.1,0,4,3,12,33,0,0,0,8,0,0,16,659,749.2,40,12,443.3,77,14,133.0,247,64,132.8,91,15,18.9,Aaron,Wan-Bissaka,0,2,34,1,16.1,0,0,4.9,30.4,90,0,0,0,0,0,1879259,2.0,8,55,0,1,2,127,55
14.0,3.0,67.0,139.0,2338.0,20.7,8.0,7.0,3.0,9.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,543.0,679.4,693.0,825.0,219.5,9.1,14.0,3.0,73.0,13.0,234.0,1.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,32.6,113.4,128.0,27.3,0.3,14.0,3.0,69.0,23.0,460.0,3.3,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,96.0,85.4,139.0,113.0,33.8,0.6,371,4.7,1,1,0,1,5,0,0,0,1,0,0,1,97,107.2,376,158,68.8,315,167,74.0,316,155,25.1,377,165,0.1,Adam,Lallana,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7143,0.0,0,60,0,14,3,27,60
57.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,43.0,26.0,1002.0,6.0,0.0,1.0,0.0,2.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,165.0,201.0,70.8,27.0,30.1,0.1,1815,15.3,1,0,0,6,31,0,0,0,3,0,0,4,281,351.2,211,79,201.3,198,46,109.0,268,77,66.4,246,76,0.3,Adam,Masina,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4687,0.0,0,45,0,57,2,66,45
91.0,2.0,46.0,104.0,3101.0,22.6,1.0,5.0,1.0,8.0,61.0,1.0,0.0,0.0,6.0,0.0,0.0,12.0,645.0,566.6,509.8,242.0,132.1,7.0,91.0,2.0,48.0,56.0,2067.0,11.7,1.0,3.0,0.0,2.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,376.0,455.0,345.5,144.0,94.5,0.4,91.0,2.0,43.0,70.0,2067.0,16.3,1.0,1.0,0.0,8.0,33.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,383.0,374.0,199.8,110.0,68.5,0.4,2055,11.4,0,1,1,4,40,0,0,0,7,0,0,3,309,309.6,235,91,183.0,214,51,97.0,286,86,58.8,273,86,0.4,Adam,Smith,0,0,10,0,7.0,1,0,1.4,3.4,90,0,0,0,0,0,90570,4.0,1,45,1,91,2,49,45
36.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2668,20.0,3,1,1,5,44,1,0,0,4,0,0,7,514,696.6,54,19,153.2,235,61,221.0,182,34,107.3,134,32,0.5,Adam,Webster,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,5861,0.0,0,45,0,36,2,88,45
11.0,3.0,50.0,16.0,289.0,3.2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,55.8,15.5,193.0,26.1,0.0,11.0,3.0,51.0,10.0,153.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,20.5,43.0,7.5,0.1,11.0,3.0,49.0,34.0,600.0,6.9,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,131.4,172.1,211.0,51.6,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,652,268,0.0,648,269,0.0,644,269,0.0,653,269,0.0,Ademola,Lookman,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,773,0.0,0,50,0,11,3,0,50
