name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Ibrahima Diallo,MID,Southampton,1.3,0,0,7,0,3.9,565,183,1,0,1.3,9.2,2021-01-16T20:00:00Z,86,9,0,0,0,0,19,0,2548,0,2,0.0,1,163,402,239,45,False,1
Felipe Anderson Pereira Gomes,MID,West Ham,0.0,0,0,0,0,0.0,440,175,0,0,0.0,0.0,2021-01-19T18:00:00Z,0,18,0,0,0,0,19,0,9398,1,2,0.0,0,-24,4,28,61,True,0
Raheem Sterling,MID,Man City,10.4,0,0,3,1,24.2,276,380,0,0,7.1,2.4,2021-01-20T18:00:00Z,71,2,0,0,0,0,19,0,336494,0,2,44.0,3,-8383,33191,41574,114,True,0
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,78,182,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,10,0,0,0,0,19,0,25125,1,0,0.0,0,-1502,135,1637,52,False,0
Oliver Norwood,MID,Sheffield Utd,0.9,0,0,10,0,37.8,349,186,3,0,6.1,15.2,2021-01-17T14:00:00Z,66,17,0,0,0,0,19,0,11373,3,1,8.0,1,-294,221,515,46,True,1
Lee Peltier,DEF,West Brom,-1.0,0,0,0,0,0.0,600,175,0,0,0.0,0.0,2021-01-19T18:00:00Z,0,19,0,0,0,0,19,0,5514,1,2,0.0,0,112,449,337,40,False,0
Daniel Langley,GK,Newcastle,-0.5,0,0,0,0,0.0,606,99,0,0,0.0,0.0,2021-01-23T20:00:00Z,0,2,0,0,0,0,19,0,6285,0,2,0.0,0,370,1050,680,40,False,0
Wilfried Zaha,MID,Crystal Palace,1.8,0,0,0,0,0.0,141,185,0,0,0.0,0.0,2021-01-17T19:15:00Z,0,12,0,0,0,0,19,0,1313208,0,4,0.0,0,-264972,16420,281392,73,False,0
Bailey Peacock-Farrell,GK,Burnley,-1.5,0,0,0,0,0.0,99,177,0,0,0.0,0.0,2021-01-21T20:00:00Z,0,11,0,0,0,0,19,0,111735,1,0,0.0,0,-6588,677,7265,40,False,0
Ryan Fraser,MID,Newcastle,0.0,0,0,3,0,0.9,507,99,0,0,2.0,0.8,2021-01-23T20:00:00Z,19,2,0,0,0,0,19,0,12858,0,2,18.0,1,-321,10,331,56,False,0
Anthony Driscoll-Glennon,DEF,Burnley,-2.0,0,0,0,0,0.0,536,177,0,0,0.0,0.0,2021-01-21T20:00:00Z,0,11,0,0,0,0,19,0,7624,1,0,0.0,0,48,380,332,40,False,0
