team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,team_code_20_21,element_type_20_21,now_cost_20_21,total_points_20_21,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21,first_name,second_name
3.0,3.0,95.0,167.0,2841.0,17.6,8.0,11.0,3.0,12.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,729.0,834.4,1649.3,734.0,322.0,7.5,3.0,3.0,93.0,112.0,2161.0,12.0,4.0,9.0,2.0,8.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,506.0,640.6,1287.5,555.0,248.6,2.1,3.0,3.0,79.0,89.0,1732.0,11.3,5.0,3.0,2.0,5.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,363.0,429.6,714.2,254.0,140.0,2.6,3.0,3.0,69.0,53.0,1439.0,7.7,1.0,3.0,0.0,5.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,256.0,223.6,300.0,126.0,582.9,39.0,32.0,190.0,205.0,110.0,99.8,153.0,79.0,1.1,3,3,67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,713,295,0.0,713,295,0.0,713,295,0.0,713,295,0.5,Mesut,Ãzil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,51.0,64.0,2198.0,12.5,1.0,2.0,1.0,5.0,33.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,402.0,513.8,67.9,120.0,70.4,1.2,3.0,2.0,48.0,57.0,1696.0,11.9,2.0,0.0,1.0,4.0,25.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,305.0,436.2,166.0,62.0,36.8,365.0,130.0,110.0,266.0,76.0,58.5,275.0,88.0,1.3,3,2,48,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,682,240,0.0,674,241,0.0,667,238,0.0,685,240,0.1,Sokratis,Papastathopoulos
8.0,2.0,62.0,132.0,2954.0,21.3,1.0,1.0,1.0,15.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,675.0,651.0,158.1,280.0,109.1,5.0,8.0,2.0,57.0,32.0,838.0,5.6,1.0,2.0,0.0,3.0,13.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,186.0,210.2,22.3,65.0,29.6,8.1,8.0,2.0,58.0,164.0,3238.0,28.3,3.0,2.0,4.0,16.0,36.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,794.0,859.0,358.7,363.0,158.0,11.7,3.0,2.0,57.0,94.0,2809.0,16.5,2.0,1.0,2.0,8.0,42.0,0.0,0.0,0.0,5.0,2.0,0.0,10.0,494.0,701.6,53.0,18.0,106.7,271.0,78.0,211.0,190.0,37.0,102.1,148.0,39.0,5.1,3,2,54,41,1396,7.6,1,0,0,3,20,0,0,0,1,1,0,0,230,250.6,264,101,46.7,346,119,144.0,244,70,43.9,310,105,0.8,David,Luiz Moreira Marinho
,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,108.0,87.0,1056.0,8.1,10.0,4.0,2.0,4.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,354.0,484.0,207.1,580.0,127.1,14.0,3.0,4.0,108.0,205.0,2722.0,19.0,22.0,7.0,5.0,7.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,756.0,984.4,484.6,1429.0,289.6,18.8,3.0,4.0,109.0,205.0,3136.0,18.8,22.0,5.0,5.0,10.0,44.0,0.0,0.0,0.0,3.0,1.0,0.0,37.0,807.0,1006.0,9.0,3.0,479.6,61.0,5.0,1369.0,9.0,7.0,285.2,11.0,5.0,22.4,3,3,113,131,2330,11.6,10,3,3,10,26,1,0,0,2,0,0,11,358,493.8,136,49,361.5,101,71,823.0,34,18,167.4,52,31,7.2,Pierre-Emerick,Aubameyang
20.0,2.0,49.0,102.0,2515.0,20.8,0.0,3.0,1.0,11.0,36.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,584.0,591.0,648.9,155.0,139.6,2.7,20.0,2.0,47.0,85.0,2794.0,18.1,0.0,3.0,1.0,7.0,44.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,481.0,507.0,455.6,159.0,112.3,4.0,20.0,2.0,42.0,52.0,1493.0,12.4,1.0,2.0,1.0,4.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,273.0,309.0,226.5,103.0,63.9,2.1,3.0,2.0,48.0,61.0,1553.0,12.7,1.0,1.0,0.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,286.0,349.0,214.0,81.0,218.9,186.0,42.0,118.0,265.0,75.0,68.7,237.0,70.0,0.4,3,2,46,28,744,6.1,0,1,0,2,11,0,0,0,1,0,0,3,125,110.8,366,140,114.8,249,65,66.0,330,110,29.2,356,125,0.3,CÃ©dric,Soares
,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,103.0,138.0,2197.0,13.4,14.0,5.0,2.0,10.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,543.0,725.6,566.0,1291.0,258.0,7.6,3.0,4.0,94.0,166.0,2497.0,17.7,13.0,12.0,1.0,6.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,560.0,808.0,482.4,1319.0,260.6,11.4,3.0,4.0,92.0,118.0,1867.0,12.8,10.0,7.0,2.0,5.0,25.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,387.0,536.4,112.0,15.0,337.7,124.0,19.0,861.0,35.0,19.0,173.8,50.0,19.0,2.4,3,4,84,129,1916,15.4,13,3,4,7,21,0,0,0,3,0,0,21,452,602.4,69,8,307.4,133,18,797.0,38,18,170.4,50,17,4.3,Alexandre,Lacazette
3.0,2.0,58.0,90.0,2274.0,15.5,2.0,2.0,1.0,8.0,30.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,513.0,598.2,159.7,364.0,112.4,1.4,3.0,2.0,54.0,109.0,2272.0,20.2,3.0,1.0,2.0,10.0,30.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0,610.0,836.6,129.9,202.0,117.0,4.2,3.0,2.0,54.0,80.0,2611.0,14.8,2.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,475.0,718.6,106.0,252.0,107.8,1.3,3.0,2.0,51.0,43.0,1205.0,8.4,0.0,2.0,0.0,4.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,242.0,277.2,257.0,100.0,45.5,352.0,122.0,155.0,234.0,58.0,47.9,313.0,106.0,0.4,3,2,50,3,45,0.6,0,0,0,0,1,0,0,0,0,0,0,0,16,11.6,473,177,1.0,462,176,0.0,691,245,1.3,488,180,0.0,Shkodran,Mustafi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,49.0,106.0,2835.0,21.6,0.0,0.0,1.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,105.0,5.0,568.0,807.2,0.0,0.0,80.5,4.0,3.0,1.0,48.0,114.0,2649.0,23.8,0.0,0.0,1.0,7.0,39.0,0.0,1.0,0.0,2.0,0.0,113.0,10.0,591.0,843.2,25.0,8.0,0.0,635.0,66.0,0.0,629.0,63.0,84.1,190.0,8.0,4.2,3,1,50,131,3131,26.2,0,0,2,11,37,1,1,0,0,1,86,11,625,702.2,45,14,0.0,695,74,2.0,448,5,70.3,231,15,7.3,Bernd,Leno
3.0,3.0,52.0,85.0,2483.0,16.3,2.0,3.0,1.0,10.0,32.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,506.0,488.8,626.2,193.0,130.8,3.2,3.0,3.0,51.0,109.0,3259.0,21.4,1.0,8.0,1.0,12.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,593.0,753.4,822.8,378.0,195.3,7.0,3.0,3.0,52.0,90.0,2498.0,17.3,4.0,3.0,1.0,7.0,37.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,452.0,634.6,674.0,215.0,152.6,2.3,3.0,3.0,51.0,73.0,2586.0,14.3,1.0,2.0,0.0,10.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,408.0,486.2,140.0,53.0,298.5,140.0,86.0,110.0,267.0,136.0,89.9,177.0,90.0,0.8,3,3,52,70,2519,13.5,1,2,0,10,27,0,0,0,7,1,0,1,396,456.0,160,60,327.6,116,79,154.0,232,118,94.0,159,88,0.4,Granit,Xhaka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,44.0,8.0,113.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,27.8,445.0,167.0,1.7,457.0,173.0,0.0,556.0,212.0,3.0,467.0,172.0,0.0,3,2,44,34,900,7.7,0,0,0,4,8,0,0,0,2,0,0,1,182,163.2,326,125,26.4,379,137,16.0,400,153,20.6,384,135,0.1,Pablo,MarÃ­
3.0,2.0,65.0,119.0,2503.0,18.3,1.0,5.0,2.0,10.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,569.0,437.6,508.3,395.0,133.8,13.9,3.0,2.0,59.0,132.0,3050.0,22.4,2.0,4.0,2.0,12.0,44.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,656.0,554.0,561.0,484.0,160.1,10.3,3.0,2.0,53.0,60.0,1532.0,11.3,0.0,5.0,0.0,4.0,21.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,304.0,261.6,197.8,280.0,73.7,4.5,3.0,2.0,52.0,44.0,1156.0,8.5,1.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,204.0,187.8,322.0,124.0,76.9,301.0,95.0,103.0,275.0,81.0,37.0,339.0,122.0,1.0,3,2,50,94,2089,18.8,1,3,3,7,24,0,0,0,8,0,0,17,421,362.8,204,81,351.8,107,22,232.0,170,32,94.7,158,39,3.5,HÃ©ctor,BellerÃ­n
25.0,2.0,43.0,83.0,2250.0,19.3,2.0,1.0,0.0,7.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,499.0,692.2,107.0,80.0,88.0,3.4,3.0,2.0,47.0,23.0,864.0,4.9,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,171.0,227.8,40.0,134.0,40.2,0.4,54.0,2.0,42.0,60.0,2586.0,14.3,2.0,0.0,0.0,5.0,52.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,431.0,609.0,231.9,401.0,124.5,1.1,3.0,2.0,43.0,42.0,1102.0,9.8,1.0,1.0,0.0,3.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,197.0,272.0,261.0,103.0,113.5,262.0,74.0,203.0,199.0,41.0,58.7,274.0,87.0,0.6,3,2,45,36,751,8.0,0,3,1,2,10,0,0,0,0,0,0,3,168,171.8,313,120,169.4,209,51,77.0,320,108,41.9,316,108,0.2,Calum,Chambers
,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,58.0,108.0,2146.0,18.6,2.0,4.0,2.0,10.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,510.0,443.2,334.9,404.0,118.3,6.1,3.0,2.0,49.0,81.0,1886.0,16.5,0.0,7.0,1.0,5.0,29.0,1.0,0.0,0.0,5.0,0.0,0.0,10.0,382.0,323.2,445.9,242.0,101.0,5.4,3.0,2.0,52.0,55.0,1694.0,10.6,0.0,2.0,0.0,4.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,331.0,269.6,264.0,104.0,182.5,215.0,52.0,81.0,305.0,98.0,53.0,293.0,96.0,0.5,3,2,48,2,90,0.4,0,0,0,0,1,0,0,0,0,0,0,0,9,3.6,487,179,5.4,439,167,4.0,435,164,1.3,487,179,0.1,Sead,Kolasinac
3.0,2.0,41.0,32.0,810.0,7.8,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,171.0,172.0,49.2,100.0,32.2,3.3,3.0,2.0,44.0,27.0,819.0,6.1,0.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,196.0,212.2,39.3,24.0,27.5,0.7,3.0,2.0,43.0,24.0,806.0,5.6,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,148.0,187.8,28.7,14.0,23.2,0.4,3.0,2.0,44.0,16.0,580.0,3.6,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,96.0,133.6,355.0,138.0,4.8,441.0,164.0,19.0,396.0,145.0,15.8,407.0,150.0,0.2,3,2,43,105,2557,24.4,0,1,1,11,26,1,0,0,2,0,0,10,536,602.6,68,24,76.1,314,97,97.0,288,93,77.7,211,64,4.7,Rob,Holding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,53.0,42.0,986.0,7.9,1.0,2.0,1.0,2.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,213.0,201.8,312.0,120.0,121.1,258.0,71.0,73.0,317.0,107.0,39.8,333.0,118.0,1.1,3,2,52,96,2299,18.5,1,4,1,8,27,0,0,0,4,0,0,4,483,446.4,165,64,490.1,61,12,201.0,187,42,113.9,115,21,4.3,Kieran,Tierney
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,89.0,106.0,2004.0,11.9,5.0,6.0,2.0,5.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,353.0,500.2,135.0,49.0,639.4,29.0,23.0,624.0,57.0,30.0,176.5,49.0,27.0,3.0,3,3,77,114,1606,14.8,10,3,2,4,21,0,0,0,1,1,0,11,351,476.2,148,55,235.9,175,111,774.0,39,21,148.5,74,45,2.4,Nicolas,PÃ©pÃ©
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,47.0,78.0,2377.0,16.6,2.0,4.0,1.0,5.0,38.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,409.0,440.8,301.0,203.0,94.5,2.6,3.0,3.0,47.0,46.0,1501.0,9.8,1.0,1.0,0.0,3.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,247.0,281.8,254.0,103.0,207.1,194.0,122.0,207.0,195.0,104.0,69.7,234.0,115.0,1.0,3,3,47,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,677,279,0.0,669,279,0.0,662,277,0.0,680,279,0.1,Lucas,Torreira
,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,47.0,5.0,144.0,1.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,29.7,11.0,5.3,0.0,3.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,3.0,53.0,30.0,622.0,5.7,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,110.4,373.0,155.0,148.3,241.0,141.0,185.0,210.0,114.0,44.4,320.0,144.0,0.1,3,3,51,2,70,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,4.2,485,204,9.7,425,196,10.0,412,190,2.4,470,200,0.0,Reiss,Nelson
,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,50.0,3.0,17.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1.9,17.0,2.3,0.0,3.0,4.0,50.0,10.0,63.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,40.8,14.7,59.0,11.4,0.0,3.0,4.0,43.0,25.0,628.0,5.8,2.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,66.0,90.4,389.0,48.0,67.0,319.0,49.0,210.0,191.0,52.0,36.4,340.0,51.0,1.6,3,4,53,36,411,6.8,2,1,0,1,6,0,0,0,0,0,0,5,120,116.6,359,43,97.3,276,43,211.0,181,46,42.1,314,46,0.5,Edward,Nketiah
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,43.0,4.0,96.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.8,467.0,195.0,6.3,435.0,197.0,0.0,546.0,217.0,1.6,482.0,202.0,0.0,3,3,42,74,1438,17.6,2,5,1,9,10,0,0,0,0,0,0,3,308,273.2,251,107,385.1,92,65,222.0,175,95,88.1,175,97,3.5,Emile,Smith Rowe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,45.0,1.0,7.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,47.0,71.0,1746.0,15.1,1.0,6.0,0.0,7.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,259.0,327.2,227.0,92.0,322.5,129.0,81.0,248.0,164.0,95.0,89.8,179.0,92.0,5.7,3,3,51,114,2554,22.4,5,5,2,8,31,1,0,0,1,0,0,8,414,493.0,137,50,650.6,37,28,984.0,20,8,212.7,27,18,7.2,Bukayo,Saka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,44.0,47.0,2140.0,10.7,0.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,321.0,323.2,312.4,130.0,76.6,1.6,3.0,3.0,41.0,48.0,1744.0,11.7,0.0,2.0,0.0,3.0,31.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,272.0,333.6,222.0,90.0,235.1,177.0,111.0,146.0,240.0,126.0,71.6,225.0,112.0,7.1,3,3,47,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,679,281,0.0,671,281,0.0,664,279,0.0,682,281,0.1,Matteo,Guendouzi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,42.0,39.0,656.0,9.3,3.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,129.0,162.8,337.0,41.0,36.6,366.0,54.0,226.0,177.0,49.0,42.5,327.0,48.0,1.8,3,3,49,36,582,7.3,2,1,0,4,3,0,0,0,0,0,0,0,107,142.6,342,145,133.8,233,141,300.0,132,77,57.5,265,123,0.3,Gabriel Teodoro,Martinelli Silva
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,559,214,0.0,538,214,0.0,515,204,0.0,568,214,0.4,William,Saliba
,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,46.0,146.0,3420.0,31.7,0.0,0.0,3.0,10.0,54.0,0.0,2.0,0.0,0.0,0.0,124.0,13.0,726.0,911.6,0.0,0.0,91.1,3.4,36.0,1.0,44.0,104.0,3060.0,23.6,0.0,0.0,0.0,6.0,55.0,0.0,0.0,0.0,2.0,0.0,97.0,11.0,547.0,707.0,0.0,0.0,70.9,4.9,36.0,1.0,47.0,135.0,3420.0,28.7,0.0,0.0,0.0,9.0,54.0,0.0,0.0,0.0,0.0,0.0,117.0,14.0,754.0,1000.0,10.0,3.0,0.0,632.0,64.0,0.0,625.0,61.0,100.1,150.0,3.0,11.5,3,1,41,37,1260,9.0,0,0,0,3,21,0,0,0,1,0,24,0,216,193.6,293,23,10.7,418,4,2.0,440,4,20.6,383,23,5.6,Mathew,Ryan
8.0,3.0,70.0,114.0,1534.0,16.3,8.0,3.0,4.0,6.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,441.0,491.4,809.4,522.0,182.1,3.5,8.0,3.0,70.0,130.0,1874.0,18.6,6.0,8.0,3.0,9.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,522.0,640.0,891.5,715.0,224.5,12.6,8.0,3.0,71.0,108.0,2091.0,15.2,3.0,7.0,0.0,11.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,475.0,557.6,1165.5,742.0,246.7,3.8,8.0,3.0,73.0,168.0,2595.0,23.0,9.0,9.0,7.0,10.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,26.0,698.0,834.8,26.0,7.0,1177.7,7.0,6.0,930.0,30.0,14.0,294.6,8.0,5.0,10.7,3,3,75,78,1398,10.4,1,7,1,3,17,0,0,0,0,0,0,9,306,256.2,260,111,534.8,52,39,228.0,171,94,102.3,139,79,2.7,Willian,Borges Da Silva
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,49,78,1996,15.9,2,0,1,6,24,0,0,0,2,1,0,7,385,464.8,154,61,51.0,341,115,233.0,168,31,74.9,218,67,4.6,Gabriel,MagalhÃ£es
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,52.0,57.0,1687.0,11.0,0.0,2.0,1.0,7.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,310.0,346.4,215.0,88.0,439.9,79.0,55.0,130.0,250.0,129.0,91.7,172.0,86.0,3.0,3,3,47,62,1609,13.2,0,4,0,6,17,0,0,0,4,0,0,7,331,359.8,207,83,422.3,77,55,141.0,249,125,92.4,166,90,0.7,Daniel,Ceballos FernÃ¡ndez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,42,50,1538,11.9,1,0,1,5,20,0,0,0,3,0,0,3,258,200.2,288,123,99.9,271,156,79.0,316,157,37.8,332,147,1.3,Mohamed Naser,El Sayed Elneny
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,44.0,0.0,510.0,23.0,0.0,479.0,15.0,0.0,530.0,44.0,0.0,3,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,532,53,0.0,509,26,0.0,485,21,0.0,541,53,0.9,Matt,Macey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,44,1,15,0.2,0,0,0,0,0,0,0,0,0,0,2,0,8,16.6,461,37,0.0,588,57,0.0,570,53,1.7,482,38,0.1,RÃºnar Alex,RÃºnarsson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,49,47,1529,9.6,0,2,0,6,18,0,0,0,5,0,0,0,273,289.4,239,100,195.7,195,119,129.0,258,129,61.7,258,119,0.3,Thomas,Partey
