team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21,assists_1_20_21,bonus_1_20_21,bps_1_20_21,clean_sheets_1_20_21,creativity_1_20_21,goals_conceded_1_20_21,goals_scored_1_20_21,ict_index_1_20_21,influence_1_20_21,minutes_1_20_21,own_goals_1_20_21,penalties_missed_1_20_21,penalties_saved_1_20_21,red_cards_1_20_21,saves_1_20_21,selected_1_20_21,threat_1_20_21,total_points_1_20_21,value_1_20_21,yellow_cards_1_20_21,first_name,second_name,team_code_20_21,element_type_20_21,total_points_20_21,now_cost_20_21
36.0,4.0,59.0,57.0,934.0,9.3,3.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,159.0,201.6,134.3,551.0,97.9,1.8,36.0,4.0,56.0,1.0,9.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,36.0,4.0,47.0,12.0,364.0,2.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,41.8,45.0,169.0,25.8,0.1,36.0,4.0,42.0,61.0,1250.0,14.5,3.0,3.0,7.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,146.0,150.6,348.0,43.0,91.4,286.0,45.0,530.0,69.0,32.0,76.0,212.0,36.0,2.7,783,7.3,2,1,0,1,17,0,0,0,0,0,0,2,95,104.2,371,44,74.1,316,47,307.0,127,40,48.2,294,42,0.3,0,0,-3,0,0.3,2,0,3.4,1.2,45,0,0,0,0,0,32205,32.0,1,55,0,Aaron,Connolly,36,4,38,55
21.0,2.0,51.0,60.0,2115.0,11.8,0.0,2.0,0.0,5.0,35.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,334.0,307.6,284.7,121.0,71.2,0.3,21.0,2.0,49.0,118.0,3069.0,24.1,1.0,7.0,0.0,10.0,60.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,613.0,690.2,562.7,193.0,145.0,3.2,21.0,2.0,50.0,34.0,1588.0,6.8,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,257.0,318.2,290.9,113.0,72.3,0.5,21.0,2.0,45.0,79.0,2727.0,17.6,3.0,0.0,2.0,5.0,51.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,444.0,535.4,114.0,44.0,441.0,78.0,15.0,180.0,214.0,47.0,115.9,116.0,25.0,1.5,3170,26.8,0,11,3,11,41,0,0,0,3,0,0,21,730,669.4,59,20,898.6,12,4,96.0,291,95,166.8,53,5,18.2,0,0,11,0,11.2,2,0,2.2,10.4,90,0,0,0,0,0,70232,0.0,1,50,0,Aaron,Cresswell,21,2,153,50
36.0,3.0,45.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.3,0.0,0.1,0.0,38.0,3.0,52.0,113.0,3066.0,21.7,4.0,3.0,2.0,10.0,52.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,576.0,753.2,848.8,350.0,195.2,4.7,38.0,3.0,50.0,76.0,2326.0,15.2,3.0,1.0,1.0,3.0,48.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,411.0,510.8,725.2,359.0,159.7,1.0,36.0,3.0,47.0,80.0,2079.0,17.0,2.0,2.0,1.0,6.0,33.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,337.0,436.6,165.0,62.0,614.9,31.0,25.0,291.0,138.0,75.0,134.0,87.0,50.0,0.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,699,287,0.0,694,287,0.0,692,286,0.0,702,287,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2010,0.0,0,50,0,Aaron,Mooy,36,3,0,50
49.0,1.0,42.0,64.0,1452.0,13.3,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,295.0,266.6,0.0,0.0,26.8,3.6,49.0,1.0,43.0,11.0,270.0,2.3,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,54.0,55.2,0.0,0.0,5.5,0.1,49.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,91.0,1.0,44.0,126.0,3330.0,28.6,0.0,1.0,4.0,5.0,62.0,0.0,1.0,0.0,0.0,0.0,128.0,13.0,680.0,973.8,11.0,4.0,24.0,397.0,3.0,0.0,568.0,54.0,99.7,154.0,4.0,3.2,3420,26.7,0,0,2,5,63,0,0,0,1,0,146,12,685,1023.0,8,4,20.0,388,1,4.0,434,3,104.7,131,3,2.0,0,0,12,0,0.0,2,0,1.8,18.2,90,0,0,0,0,2,462939,0.0,1,50,0,Aaron,Ramsdale,49,1,123,50
54.0,3.0,45.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.3,0.0,0.1,0.0,54.0,3.0,43.0,3.0,81.0,0.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.2,5.8,4.0,1.8,0.0,54.0,3.0,43.0,4.0,63.0,0.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.5,17.0,2.7,0.0,54.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,13.0,0.0,18.0,12.0,0.0,136.0,36.0,0.0,66.0,38.0,0.0,307,1.7,0,0,0,0,9,0,0,0,1,1,0,0,14,22.6,450,192,76.8,312,171,39.0,366,176,13.2,408,179,0.0,0,0,-2,0,1.8,3,0,0.2,0.0,62,0,0,0,0,0,6711,5.0,2,50,0,Aboubakar,Kamara,54,3,8,50
2.0,3.0,45.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.3,0.0,0.1,0.0,2.0,3.0,43.0,3.0,81.0,0.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.2,5.8,4.0,1.8,0.0,2.0,3.0,43.0,4.0,63.0,0.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.5,17.0,2.7,0.0,2.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,13.0,0.0,18.0,12.0,0.0,136.0,36.0,0.0,66.0,38.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,685,282,0.0,679,282,0.0,672,280,0.0,688,282,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2009,0.0,0,50,0,Adam,Forshaw,2,3,0,50
14.0,3.0,67.0,139.0,2338.0,20.7,8.0,7.0,3.0,9.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,543.0,679.4,693.0,825.0,219.5,9.1,14.0,3.0,73.0,13.0,234.0,1.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,32.6,113.4,128.0,27.3,0.3,14.0,3.0,69.0,23.0,460.0,3.3,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,96.0,85.4,139.0,113.0,33.8,0.6,14.0,3.0,57.0,27.0,371.0,4.7,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,97.0,107.2,376.0,158.0,68.8,315.0,167.0,74.0,316.0,155.0,25.1,377.0,165.0,0.1,1584,9.4,1,1,0,5,18,0,0,0,0,0,0,2,265,255.2,262,113,355.7,105,73,302.0,131,76,91.0,168,92,0.3,0,0,6,0,27.2,1,0,3.6,6.8,44,0,0,0,0,0,78657,2.0,1,65,0,Adam,Lallana,36,3,58,65
36.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,44.0,88.0,2668.0,20.0,3.0,1.0,1.0,5.0,44.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,514.0,696.6,54.0,19.0,153.2,235.0,61.0,221.0,182.0,34.0,107.3,134.0,32.0,0.5,2594,19.8,1,0,0,9,35,0,0,0,4,0,0,0,470,505.4,126,46,96.6,278,76,244.0,161,26,84.6,192,51,1.0,0,0,14,0,11.8,3,0,2.8,14.8,90,0,0,0,0,0,187445,1.0,1,45,0,Adam,Webster,36,2,85,45
13.0,3.0,44.0,6.0,269.0,1.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,16.8,24.9,0.0,4.0,0.2,13.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,51.0,0.0,145.0,44.0,0.0,196.0,59.0,0.0,199.0,55.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,599,225,0.0,584,225,0.0,566,216,0.0,607,228,0.2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,39204,0.0,0,45,0,Adrien,Silva,13,3,0,45
35.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,16.0,0.0,125.0,28.0,0.0,116.0,15.0,0.0,134.0,32.0,0.0,90,1.5,0,0,0,1,0,0,0,0,0,0,0,0,24,19.6,454,169,0.3,472,181,0.0,527,213,2.0,474,175,0.1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,74895,0.0,0,45,0,Ahmed El-Sayed,Hegazy,35,2,6,45
