team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,team_code_20_21,element_type_20_21,now_cost_20_21,total_points_20_21,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21,minutes_21_22,value_season_21_22,goals_scored_21_22,assists_21_22,dreamteam_count_21_22,clean_sheets_21_22,goals_conceded_21_22,own_goals_21_22,penalties_saved_21_22,penalties_missed_21_22,yellow_cards_21_22,red_cards_21_22,saves_21_22,bonus_21_22,bps_21_22,influence_21_22,influence_rank_21_22,influence_rank_type_21_22,creativity_21_22,creativity_rank_21_22,creativity_rank_type_21_22,threat_21_22,threat_rank_21_22,threat_rank_type_21_22,ict_index_21_22,ict_index_rank_21_22,ict_index_rank_type_21_22,selected_by_percent_21_22,assists_1_21_22,bonus_1_21_22,bps_1_21_22,clean_sheets_1_21_22,creativity_1_21_22,goals_conceded_1_21_22,goals_scored_1_21_22,ict_index_1_21_22,influence_1_21_22,minutes_1_21_22,own_goals_1_21_22,penalties_missed_1_21_22,penalties_saved_1_21_22,red_cards_1_21_22,saves_1_21_22,selected_1_21_22,threat_1_21_22,total_points_1_21_22,value_1_21_22,yellow_cards_1_21_22,first_name,second_name,team_code_21_22,element_type_21_22,total_points_21_22,now_cost_21_22
1.0,2.0,55.0,105.0,2058.0,19.1,0.0,0.0,1.0,13.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,542.0,481.2,31.0,98.0,61.2,8.3,1.0,2.0,60.0,55.0,1000.0,9.2,1.0,0.0,1.0,7.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,248.0,222.0,28.4,79.0,33.0,5.7,1.0,2.0,50.0,16.0,636.0,3.2,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,109.0,125.0,3.4,35.0,16.5,1.3,1.0,2.0,47.0,9.0,148.0,1.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,438.0,166.0,1.0,470.0,177.0,0.0,627.0,217.0,3.3,463.0,170.0,0.1,1.0,2.0,48.0,31.0,915.0,6.5,0.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,178.0,175.6,311.0,119.0,8.3,429.0,161.0,26.0,382.0,143.0,21.1,378.0,132.0,0.3,216,0.4,0,0,0,0,4,1,0,0,1,0,0,0,22,36.0,442,166,1.0,469,175,0,695,246,3.7,465,170,0.1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,9363,0.0,0,50,0,Eric,Bailly,1,2,2,50
7.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,4.0,45.0,1.0,8.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.3,4.0,0.3,0.7,7.0,4.0,50.0,13.0,134.0,2.6,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,62.6,27.4,127.0,21.6,0.0,7.0,3.0,42.0,25.0,534.0,6.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,27.8,444.0,185.0,71.7,310.0,164.0,212.0,187.0,101.0,29.9,359.0,156.0,0.3,7.0,4.0,42.0,23.0,265.0,5.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,77.2,393.0,49.0,76.7,313.0,46.0,169.0,210.0,49.0,31.7,351.0,49.0,7.6,11,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,511,65,1.0,468,62,0,623,73,0.1,514,66,1.4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,169789,0.0,0,45,0,Keinan,Davis,7,4,1,45
57.0,3.0,44.0,6.0,224.0,1.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,16.8,24.9,0.0,4.0,0.0,57.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,26.0,0.0,34.0,27.0,0.0,91.0,46.0,0.0,69.0,40.0,0.0,57.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,41.0,0.0,129.0,86.0,0.0,97.0,56.0,0.0,133.0,76.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,625,238,0.0,621,240,0,606,239,0.0,627,239,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4092,0.0,0,45,0,Ayotomiwa,Dele-Bashiru,57,3,0,45
20.0,3.0,50.0,92.0,1883.0,18.4,4.0,4.0,1.0,9.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,377.0,427.4,729.1,448.0,160.7,1.4,20.0,3.0,49.0,84.0,1708.0,17.1,3.0,5.0,1.0,2.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,367.0,363.4,613.9,296.0,127.1,1.7,20.0,3.0,51.0,94.0,1940.0,18.4,7.0,0.0,3.0,3.0,41.0,1.0,0.0,0.0,4.0,0.0,0.0,15.0,390.0,592.0,695.8,387.0,167.4,3.7,20.0,3.0,57.0,117.0,3420.0,20.5,5.0,4.0,0.0,9.0,60.0,0.0,0.0,2.0,9.0,0.0,0.0,8.0,587.0,864.6,20.0,5.0,989.9,9.0,7.0,548.0,65.0,33.0,240.7,21.0,13.0,1.7,20.0,3.0,59.0,156.0,3420.0,26.4,8.0,7.0,4.0,9.0,68.0,0.0,0.0,1.0,5.0,0.0,0.0,17.0,772.0,940.0,9.0,4.0,971.2,11.0,8.0,355.0,107.0,63.0,226.5,22.0,14.0,11.7,3215,24.8,10,5,3,7,65,0,0,0,3,1,0,21,769,933.6,9,4,1159.6,3,2,394,112,62,248.9,16,12,5.3,0,0,20,0,30.5,3,0,5.2,21.6,90,0,0,0,0,0,299682,0.0,2,65,0,James,Ward-Prowse,20,3,159,65
1.0,3.0,105.0,199.0,2877.0,19.0,6.0,21.0,5.0,11.0,34.0,0.0,0.0,1.0,4.0,0.0,0.0,33.0,825.0,872.4,1702.0,790.0,336.6,10.4,1.0,3.0,103.0,209.0,3073.0,20.3,8.0,18.0,5.0,19.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,872.0,1146.6,1744.2,797.0,368.9,21.4,1.0,3.0,96.0,59.0,968.0,6.1,2.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,268.0,301.4,562.3,317.0,117.9,3.4,1.0,3.0,90.0,117.0,1187.0,13.0,8.0,8.0,6.0,9.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,366.0,551.8,102.0,34.0,479.3,62.0,45.0,361.0,107.0,55.0,139.2,82.0,48.0,28.4,1.0,3.0,113.0,244.0,3101.0,21.6,18.0,14.0,9.0,13.0,36.0,0.0,0.0,1.0,6.0,0.0,0.0,36.0,870.0,1292.6,2.0,1.0,1414.9,1.0,1.0,1253.0,11.0,4.0,396.2,1.0,1.0,48.7,3110,13.0,10,7,2,8,54,0,0,2,10,0,0,15,626,901.0,10,5,1275.5,2,1,853,27,18,303.3,5,4,13.5,0,3,61,0,35.9,1,3,20.1,106.2,90,0,0,0,0,0,3381004,59.0,20,120,0,Bruno Miguel,Borges Fernandes,1,3,151,120
31.0,3.0,47.0,93.0,1999.0,19.8,5.0,3.0,1.0,3.0,39.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,363.0,400.4,284.5,300.0,97.7,1.0,31.0,3.0,44.0,101.0,2425.0,23.0,5.0,2.0,2.0,7.0,35.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,416.0,490.6,333.0,566.0,138.9,4.7,31.0,3.0,49.0,121.0,3057.0,24.7,3.0,7.0,1.0,11.0,49.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,500.0,666.8,457.2,487.0,161.3,3.4,31.0,3.0,52.0,92.0,3091.0,17.7,0.0,4.0,0.0,11.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,420.0,586.6,82.0,26.0,486.6,57.0,43.0,421.0,91.0,46.0,149.6,69.0,40.0,0.6,31.0,3.0,52.0,45.0,1465.0,8.7,0.0,2.0,0.0,4.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,228.0,285.2,241.0,102.0,202.2,190.0,118.0,65.0,334.0,166.0,55.2,272.0,126.0,0.1,1434,12.6,0,4,0,5,15,0,0,0,4,0,0,5,288,324.0,220,90,256.5,160,100,120,275,143,70.0,243,116,1.1,0,0,22,0,26.0,3,0,5.5,24.8,90,0,0,0,0,0,16857,4.0,2,45,0,James,McArthur,31,3,54,45
57.0,3.0,44.0,6.0,224.0,1.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,16.8,24.9,0.0,4.0,0.0,57.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,26.0,0.0,34.0,27.0,0.0,91.0,46.0,0.0,69.0,40.0,0.0,57.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,41.0,0.0,129.0,86.0,0.0,97.0,56.0,0.0,133.0,76.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,600,225,0.0,592,228,0,565,222,0.0,604,226,0.1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,6634,0.0,0,45,0,Kwadwo,Baah,57,3,0,45
4.0,2.0,41.0,32.0,810.0,7.2,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,171.0,172.0,35.7,18.0,32.2,0.1,4.0,2.0,42.0,52.0,1602.0,12.4,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,280.0,333.6,97.8,58.0,49.0,1.1,4.0,2.0,44.0,67.0,1986.0,15.2,0.0,0.0,1.0,7.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,365.0,424.2,94.0,58.0,57.6,0.2,4.0,2.0,43.0,44.0,1227.0,10.2,0.0,0.0,0.0,5.0,20.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,230.0,265.2,268.0,106.0,63.1,326.0,108.0,50.0,347.0,124.0,37.7,335.0,120.0,0.2,4.0,2.0,44.0,40.0,1254.0,9.1,1.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,204.0,274.4,248.0,95.0,68.1,324.0,104.0,45.0,359.0,130.0,38.8,327.0,116.0,0.1,197,1.6,0,0,0,1,1,0,0,0,2,0,0,0,28,24.2,453,170,1.9,460,170,0,599,235,2.6,479,175,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1515,0.0,0,45,0,Paul,Dummett,4,2,7,45
31.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,46.0,23.0,435.0,5.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,74.4,21.5,12.0,10.6,0.1,31.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,45.0,22.0,761.0,4.9,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,117.0,366.0,153.0,47.1,350.0,178.0,27.0,377.0,180.0,19.1,397.0,172.0,0.0,31.0,3.0,44.0,64.0,1810.0,14.5,2.0,0.0,1.0,4.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,249.0,274.0,250.0,106.0,160.4,217.0,130.0,88.0,298.0,148.0,52.4,284.0,132.0,0.7,116,0.9,0,0,0,0,5,0,0,0,0,0,0,0,16,11.2,478,206,27.5,394,198,2,454,217,4.0,463,205,0.0,0,0,8,0,5.4,3,0,0.8,2.8,76,0,0,0,0,0,2741,0.0,2,50,0,Jairo,Riedewald,31,3,4,50
36.0,3.0,45.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.2,0.0,36.0,3.0,42.0,2.0,27.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.8,1.7,11.0,3.8,0.0,36.0,3.0,40.0,2.0,18.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.8,1.7,17.0,2.2,0.3,36.0,3.0,54.0,12.0,348.0,2.2,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,28.4,442.0,184.0,73.8,304.0,160.0,66.0,326.0,160.0,16.9,403.0,174.0,0.0,36.0,3.0,53.0,48.0,1108.0,9.1,1.0,1.0,0.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,148.0,170.6,315.0,136.0,210.6,185.0,117.0,235.0,166.0,92.0,61.5,259.0,120.0,0.0,2112,18.2,5,2,1,6,29,0,0,1,4,0,0,8,398,494.0,123,45,455.6,74,55,540,66,36,148.8,65,42,0.5,0,3,28,0,0.4,0,1,5.6,38.2,14,0,0,0,0,0,3931,17.0,9,55,0,Alexis,Mac Allister,36,3,93,55
