team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19
3.0,1.0,54.0,134.0,3097.0,24.8,0.0,0.0,0.0,12.0,37.0,1.0,0.0,0.0,2.0,0.0,115.0,2.0,660.0,819.8,0.1,0.0,82.0,13.7,Petr,Cech,3.0,1.0,53.0,124.0,3039.0,23.4,0.0,0.0,1.0,11.0,48.0,0.0,1.0,0.0,1.0,0.0,90.0,7.0,627.0,722.4,0.0,0.0,71.9,4.5,3,1,47,24,585,5.1,0,0,0,1,9,0,0,0,0,0,27,3,130,205.0,0.0,0.0,20.4,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,49,106,2835,21.6,0,0,1,6,42,0,0,0,0,0,105,5,568,807.2,0.0,0.0,80.5,4.0
3.0,2.0,61.0,121.0,2821.0,19.8,2.0,1.0,3.0,10.0,37.0,0.0,0.0,0.0,4.0,1.0,0.0,19.0,723.0,831.2,53.9,239.0,112.7,11.2,Laurent,Koscielny,3.0,2.0,60.0,100.0,2225.0,16.7,2.0,0.0,3.0,9.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,556.0,692.0,123.8,137.0,95.5,1.5,3,2,54,62,1329,11.5,3,0,1,3,23,0,0,0,1,0,0,8,319,456.4,29.5,105.0,59.1,0.9
3.0,2.0,65.0,119.0,2503.0,18.3,1.0,5.0,2.0,10.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,569.0,437.6,508.3,395.0,133.8,13.9,Héctor,Bellerín,3.0,2.0,59.0,132.0,3050.0,22.4,2.0,4.0,2.0,12.0,44.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,656.0,554.0,561.0,484.0,160.1,10.3,3,2,53,60,1532,11.3,0,5,0,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280.0,73.7,4.5
3.0,2.0,59.0,115.0,3153.0,19.5,0.0,3.0,1.0,11.0,43.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,681.0,554.0,280.3,220.0,105.8,6.4,Nacho,Monreal,3.0,2.0,57.0,130.0,2241.0,22.8,5.0,2.0,3.0,10.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,604.0,693.6,238.7,305.0,124.0,8.0,3,2,54,77,1860,14.3,1,4,1,5,24,0,0,0,5,0,0,7,392,413.2,196.6,224.0,83.4,1.3
3.0,2.0,41.0,32.0,810.0,7.8,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,171.0,172.0,49.2,100.0,32.2,3.3,Rob,Holding,3.0,2.0,44.0,27.0,819.0,6.1,0.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,196.0,212.2,39.3,24.0,27.5,0.7,3,2,43,24,806,5.6,0,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14.0,23.2,0.4
3.0,2.0,58.0,90.0,2274.0,15.5,2.0,2.0,1.0,8.0,30.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,513.0,598.2,159.7,364.0,112.4,1.4,Shkodran,Mustafi,3.0,2.0,54.0,109.0,2272.0,20.2,3.0,1.0,2.0,10.0,30.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0,610.0,836.6,129.9,202.0,117.0,4.2,3,2,54,80,2611,14.8,2,0,0,6,40,0,0,0,9,0,0,5,475,718.6,106.0,252.0,107.8,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,49,81,1886,16.5,0,7,1,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242.0,101.0,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,47,3,147,0.6,0,0,0,0,1,0,0,0,1,0,0,0,28,27.0,14.1,10.0,5.2,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,45,14,935,3.1,0,0,0,0,18,0,0,0,3,0,0,0,89,113.0,61.1,23.0,20.0,0.8
