team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,first_name,second_name
3,1,54,134,3097,24.8,0,0,0,12,37,1,0,0,2,0,115,2,660,819.8,0.1,0,82,13.7,3,1,53,124,3039,23.4,0,0,1,11,48,0,1,0,1,0,90,7,627,722.4,0,0,71.9,4.5,3,1,47,24,585,5.1,0,0,0,1,9,0,0,0,0,0,27,3,130,205,0,0,20.4,1.1,Petr,Cech
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,49,106,2835,21.6,0,0,1,6,42,0,0,0,0,0,105,5,568,807.2,0,0,80.5,4,Bernd,Leno
3,2,61,121,2821,19.8,2,1,3,10,37,0,0,0,4,1,0,19,723,831.2,53.9,239,112.7,11.2,3,2,60,100,2225,16.7,2,0,3,9,32,0,0,0,4,0,0,16,556,692,123.8,137,95.5,1.5,3,2,54,62,1329,11.5,3,0,1,3,23,0,0,0,1,0,0,8,319,456.4,29.5,105,59.1,0.9,Laurent,Koscielny
3,2,65,119,2503,18.3,1,5,2,10,34,0,0,0,4,0,0,12,569,437.6,508.3,395,133.8,13.9,3,2,59,132,3050,22.4,2,4,2,12,44,0,0,0,5,0,0,11,656,554,561,484,160.1,10.3,3,2,53,60,1532,11.3,0,5,0,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280,73.7,4.5,Héctor,Bellerín
3,2,59,115,3153,19.5,0,3,1,11,43,0,0,0,5,0,0,9,681,554,280.3,220,105.8,6.4,3,2,57,130,2241,22.8,5,2,3,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305,124,8,3,2,54,77,1860,14.3,1,4,1,5,24,0,0,0,5,0,0,7,392,413.2,196.6,224,83.4,1.3,Nacho,Monreal
3,2,41,32,810,7.8,0,0,1,4,8,0,0,0,3,0,0,3,171,172,49.2,100,32.2,3.3,3,2,44,27,819,6.1,0,1,0,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24,27.5,0.7,3,2,43,24,806,5.6,0,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14,23.2,0.4,Rob,Holding
3,2,58,90,2274,15.5,2,2,1,8,30,0,0,0,11,0,0,8,513,598.2,159.7,364,112.4,1.4,3,2,54,109,2272,20.2,3,1,2,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202,117,4.2,3,2,54,80,2611,14.8,2,0,0,6,40,0,0,0,9,0,0,5,475,718.6,106,252,107.8,1.3,Shkodran,Mustafi
,,,,,,,,,,,,,,,,,,,,,,,,3,2,58,108,2146,18.6,2,4,2,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404,118.3,6.1,3,2,49,81,1886,16.5,0,7,1,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242,101,5.4,Sead,Kolasinac
,,,,,,,,,,,,,,,,,,,,,,,,3,2,42,4,194,1,0,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2,5.5,0,3,2,47,3,147,0.6,0,0,0,0,1,0,0,0,1,0,0,0,28,27,14.1,10,5.2,0.1,Konstantinos,Mavropanos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,45,14,935,3.1,0,0,0,0,18,0,0,0,3,0,0,0,89,113,61.1,23,20,0.8,Stephan,Lichtsteiner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,51,64,2198,12.5,1,2,1,5,33,0,0,0,12,0,0,4,402,513.8,67.9,120,70.4,1.2,Sokratis,Papastathopoulos
3,3,95,167,2841,17.6,8,11,3,12,30,0,0,0,2,0,0,19,729,834.4,1649.3,734,322,7.5,3,3,93,112,2161,12,4,9,2,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555,248.6,2.1,3,3,79,89,1732,11.3,5,3,2,5,24,0,0,0,2,0,0,9,363,429.6,714.2,254,140,2.6,Mesut,Özil
3,3,76,56,1236,7.4,1,4,0,4,20,0,0,0,3,0,0,3,240,257.2,361.2,496,111.3,1.1,3,3,68,130,1844,19.1,7,10,3,9,25,0,0,0,0,0,0,12,503,631.2,478.3,734,184.2,4.5,3,3,71,91,1319,12.8,4,6,0,9,13,0,0,0,0,0,0,4,298,418.4,387.2,502,131,0.9,Aaron,Ramsey
3,3,53,89,1456,16.8,3,5,1,9,20,0,0,0,1,0,0,8,352,326.4,467.8,592,138.7,1.1,3,3,51,89,1827,17.5,3,5,0,9,26,0,0,0,1,0,0,2,426,430,592.9,635,165.6,1,3,3,54,99,1961,18.3,3,8,0,4,32,0,0,0,0,0,0,3,382,469,596.7,646,171.1,1.5,Alex,Iwobi
3,3,45,26,694,5.8,0,1,0,3,9,0,0,0,1,0,0,0,133,89,108.6,116,31.1,0.4,3,3,42,22,865,5.2,0,1,0,3,12,0,0,0,3,1,0,0,156,138.2,194.4,92,42.5,3,3,3,42,10,377,2.4,0,0,0,0,5,0,0,0,0,0,0,0,59,86.6,76.7,63,22.7,2.2,Mohamed,Elneny
3,3,52,85,2483,16.3,2,3,1,10,32,0,0,0,5,2,0,7,506,488.8,626.2,193,130.8,3.2,3,3,51,109,3259,21.4,1,8,1,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378,195.3,7,3,3,52,90,2498,17.3,4,3,1,7,37,0,0,0,10,0,0,8,452,634.6,674,215,152.6,2.3,Granit,Xhaka
1,3,87,73,1348,8.4,4,1,1,10,8,0,0,0,1,0,0,3,279,325.8,512.2,427,126.2,2.1,3,3,77,107,1712,13.9,3,9,3,12,17,0,0,0,2,0,0,9,411,506.8,727.8,400,163.8,7.5,3,3,66,98,1637,14.8,6,4,4,3,26,0,0,0,1,0,0,12,354,446.4,454.9,600,150.2,4.6,Henrikh,Mkhitaryan
,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,5,144,1.1,0,0,0,0,3,0,0,0,0,0,0,0,23,12,29.7,11,5.3,0,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,Reiss,Nelson
3,3,45,1,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0,0,0.2,0,3,3,45,25,908,5.6,0,0,0,3,16,0,0,0,1,0,0,0,160,168.4,141.3,67,37.8,0.1,3,3,44,34,983,7.7,1,1,0,2,20,0,0,0,1,1,0,3,152,224.2,98.9,126,44.8,0.4,Ainsley,Maitland-Niles
3,4,73,37,748,5.1,2,2,0,3,11,0,0,0,0,0,0,0,117,144.8,89.9,321,55.5,0.8,3,4,73,70,1178,9.6,5,2,2,4,21,0,0,0,1,0,0,6,249,309.8,212.8,435,96,1.2,3,4,64,19,146,3,1,1,0,0,3,0,0,0,0,0,0,3,63,73.6,56.8,66,19.5,0.4,Danny,Welbeck
,,,,,,,,,,,,,,,,,,,,,,,,3,4,103,138,2197,13.4,14,5,2,10,28,0,0,0,1,0,0,11,543,725.6,566,1291,258,7.6,3,4,94,166,2497,17.7,13,12,1,6,31,0,0,0,2,0,0,20,560,808,482.4,1319,260.6,11.4,Alexandre,Lacazette
,,,,,,,,,,,,,,,,,,,,,,,,3,4,108,87,1056,8.1,10,4,2,4,15,0,0,1,0,0,0,12,354,484,207.1,580,127.1,14,3,4,108,205,2722,19,22,7,5,7,42,0,0,1,0,0,0,32,756,984.4,484.6,1429,289.6,18.8,Pierre-Emerick,Aubameyang
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,78,2377,16.6,2,4,1,5,38,0,0,0,7,1,0,6,409,440.8,301,203,94.5,2.6,Lucas,Torreira
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,44,47,2140,10.7,0,0,0,3,32,0,0,0,9,0,0,0,321,323.2,312.4,130,76.6,1.6,Matteo,Guendouzi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,Emiliano,Martínez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emile,Smith-Rowe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Zech,Medley
,,,,,,,,,,,,,,,,,,,,,,,,3,4,50,3,17,0.6,0,0,0,0,1,0,0,0,0,0,0,0,10,5,1.9,17,2.3,0,3,4,50,10,63,2,1,0,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59,11.4,0,Edward,Nketiah
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,1,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Bukayo,Saka
,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,3,81,0.7,0,0,0,0,2,0,0,0,0,0,0,0,8,8.2,5.8,4,1.8,0,3,3,45,4,63,0.9,0,0,0,1,1,0,0,0,0,0,0,0,4,1,2.5,23,2.7,0,Joseph,Willock
3,2,48,2,82,0.4,0,0,0,0,1,0,0,0,0,0,0,0,12,19.4,2,0,2.1,0.1,3,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,2,45,4,165,0.9,0,0,0,0,3,0,0,0,0,0,0,0,16,26.8,16.9,8,5.2,0,Carl,Jenkinson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,57,4,67,0.7,0,0,0,0,1,0,0,0,0,0,0,0,11,8.4,4.8,0,1.4,0.1,Denis,Suárez
8,1,46,2,180,0.4,0,0,0,0,5,0,0,0,0,0,1,0,17,13.2,0,0,1.3,0.2,91,1,45,112,3420,24.9,0,0,3,6,61,0,1,0,2,0,111,6,631,790.8,20,0,80.8,4.1,91,1,43,63,2160,14.7,0,0,0,5,47,0,0,0,0,0,59,4,363,440.6,0,0,44.2,2.7,Asmir,Begovic
91,1,45,120,3150,26.7,0,0,2,9,63,0,2,0,2,0,115,7,657,815.4,10,0,82.4,6.2,91,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,91,1,41,46,1080,11.2,0,0,1,4,18,0,0,0,2,0,39,4,218,302,0,0,30.3,8.6,Artur,Boruc
91,2,45,89,2938,19.8,0,1,1,10,54,0,0,0,4,1,0,7,639,748.2,291.2,130,117.3,1.4,91,2,43,56,2708,13,0,1,0,4,47,0,0,0,8,1,0,3,491,726.8,418.4,163,131,1.3,91,2,43,40,1227,9.3,0,2,0,4,24,0,0,0,1,0,0,0,244,332.4,173.3,39,54.4,0.2,Simon,Francis
91,2,48,112,3420,23.3,2,0,1,10,67,1,0,0,5,0,0,17,777,1123,66.2,391,158.2,3.2,91,2,46,83,2764,18,2,1,2,5,53,1,0,0,5,0,0,9,495,870,65.6,271,120.6,1.1,91,2,43,85,2786,19.8,1,1,1,9,56,1,0,0,3,0,0,6,549,731,143.3,292,116.5,4.2,Steve,Cook
91,2,52,134,3060,25.8,4,3,5,10,53,0,0,0,1,0,0,14,692,698.2,528.3,302,152.9,9.9,91,2,47,94,3001,20,1,3,0,6,50,0,0,0,0,0,0,4,587,582.2,479.7,196,125.9,6.6,91,2,41,44,1583,10.7,1,0,1,4,34,0,0,0,4,0,0,1,278,289.8,215.4,156,66.2,3.2,Charlie,Daniels
91,2,46,104,3101,22.6,1,5,1,8,61,1,0,0,6,0,0,12,645,566.6,509.8,242,132.1,7,91,2,48,56,2067,11.7,1,3,0,2,38,0,0,0,6,0,0,3,376,455,345.5,144,94.5,0.4,91,2,43,70,2067,16.3,1,1,0,8,33,0,0,0,5,1,0,1,383,374,199.8,110,68.5,0.4,Adam,Smith
91,2,45,4,506,0.9,0,0,0,0,16,2,0,0,0,0,0,2,89,125.4,18.3,45,18.9,0,91,2,42,3,201,0.7,0,0,0,0,5,0,0,0,1,0,0,0,40,46.6,14.8,10,7.2,0.2,91,2,42,5,141,1.2,0,0,0,0,4,0,0,0,0,0,0,0,41,49,16.3,2,6.8,0.1,Tyrone,Mings
8,2,39,55,834,14.1,3,1,2,3,20,0,0,0,1,0,0,8,267,373.2,55.5,147,57.5,6.1,91,2,50,102,3352,20.4,2,3,1,6,59,0,0,0,5,0,0,8,642,932.4,115.1,287,133.5,6.1,91,2,51,120,3411,23.5,4,1,1,10,70,0,0,0,3,0,0,8,716,1002,125.9,440,156.8,6.1,Nathan,Aké
,,,,,,,,,,,,,,,,,,,,,,,,91,2,40,1,71,0.3,0,0,0,0,2,0,0,0,0,0,0,0,10,6.2,0,0,0.6,0.2,91,2,39,10,401,2.6,0,0,0,1,9,1,0,0,0,0,0,0,73,85.4,2,21,11,6.1,Jack,Simpson
91,3,46,64,1329,13.9,2,3,2,5,24,0,0,0,1,0,0,6,224,238.6,304.6,290,83.3,0.4,91,3,47,32,974,6.8,0,0,0,5,17,0,0,0,2,0,0,0,97,99.2,195.5,224,51.6,0.1,91,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,Marc,Pugh
91,3,46,44,1800,9.6,0,1,0,4,38,0,0,0,1,1,0,0,288,256.8,223.8,90,57,0.1,91,3,43,82,1851,19.1,2,5,1,5,29,0,0,0,2,0,0,9,363,458,261.1,121,84,3.1,91,3,46,36,1438,7.8,0,0,0,4,37,0,0,0,2,0,0,0,206,190.8,163,38,39.2,0.1,Andrew,Surman
91,3,46,107,1467,23.3,7,6,1,4,29,0,0,0,1,0,0,13,372,454.6,406.9,418,128,1.3,91,3,57,75,1285,13.2,5,3,3,2,22,0,0,0,1,0,0,7,285,394.8,377.2,483,125.1,0.3,91,3,60,56,1021,9.3,2,3,0,2,24,0,0,0,1,0,0,3,205,225.2,254.5,340,82,0.1,Junior,Stanislas
91,3,47,49,1366,10.4,2,0,0,4,24,0,0,0,6,0,0,2,254,254,181.7,168,60.5,0.1,91,3,48,59,1941,12.3,2,1,0,1,41,0,0,0,8,0,0,4,254,396.4,262.2,274,93.3,0.1,91,3,47,54,1734,11.5,2,2,0,4,33,0,0,0,8,0,0,0,237,400.6,164.7,217,78.1,0.1,Dan,Gosling
91,3,49,36,1055,7.3,0,0,0,3,22,0,0,0,0,0,0,0,133,113,268.3,235,61.5,1.1,91,3,46,85,1988,18.5,2,6,1,4,33,0,0,0,1,0,0,5,289,362,602.7,610,157.3,1,91,3,49,33,789,6.7,1,1,0,1,23,0,0,0,1,0,0,0,105,131.2,174.8,155,46,0.2,Jordon,Ibe
91,3,42,17,432,4,0,2,0,1,7,0,0,0,1,0,0,1,81,100.8,89.8,28,21.8,0.8,91,3,43,58,2234,13.5,0,2,0,3,42,0,0,0,5,0,0,0,337,456.4,423.3,126,100.7,1.2,91,3,46,22,719,4.8,0,0,0,3,10,0,0,0,2,0,0,0,91,76,50.4,36,16.5,0.1,Lewis,Cook
91,3,46,100,1764,21.7,3,9,2,7,32,0,0,0,3,0,0,8,345,338.4,536.5,332,120.7,1.2,91,3,51,97,2003,19,5,3,2,2,38,0,0,0,0,0,0,13,390,492.8,646.6,413,155,0.7,91,3,64,181,3165,28.3,7,14,6,9,64,0,0,0,2,0,0,23,751,930.6,1382.4,696,301.2,23.7,Ryan,Fraser
91,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,45,1,58,0.2,0,0,0,0,1,0,0,0,0,0,0,0,6,5,12.5,0,1.8,0,91,3,44,1,37,0.2,0,0,0,0,2,0,0,0,0,0,0,0,2,14,1.2,0,1.5,0,Emerson,Hyndman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,3,50,123,2263,24.6,7,6,2,9,41,0,0,0,3,0,0,7,414,598,466.7,609,167.5,3.6,David,Brooks
91,4,60,63,1361,10.5,6,1,0,6,25,0,0,0,0,0,0,2,170,229,125.7,487,82.2,1.1,91,4,56,102,1981,18.2,8,2,3,6,33,0,0,0,0,0,0,13,282,392.2,288.4,799,147.5,4.5,91,4,69,168,2528,24.3,14,12,7,9,47,0,0,1,3,0,0,22,525,737.8,388.4,1137,225,20.3,Callum,Wilson
91,4,51,14,270,2.7,0,1,0,1,4,1,0,0,0,0,0,0,22,27.8,39.6,109,16.1,0.1,91,4,49,36,581,7.3,2,0,1,1,16,0,0,0,1,0,0,3,106,120.4,69.5,252,43.9,0.2,91,4,49,28,350,5.7,1,0,0,0,15,0,0,0,1,0,0,0,74,74.6,65.1,201,33.8,0.2,Lys,Mousset
91,3,62,178,2714,28.7,16,3,3,9,54,0,0,1,1,0,0,17,553,835.2,474.6,1007,231.6,19.3,91,4,70,110,2450,15.7,8,4,0,7,38,0,0,0,3,0,0,10,381,577,556.7,902,203.7,1.9,91,4,64,141,2963,22,12,3,4,10,57,0,0,1,3,0,0,20,457,655.4,535.7,1058,223.8,5.1,Joshua,King
56,4,74,166,3322,22.4,15,3,6,6,63,0,0,0,1,0,0,24,529,630.4,274.5,1379,227,16.1,91,4,76,60,1075,7.9,4,2,1,2,21,0,0,0,1,0,0,5,191,209.4,144.9,539,88.9,1.4,91,4,56,4,22,0.7,0,0,0,0,2,0,0,0,0,0,0,0,12,3,0,23,2.6,0.4,Jermain,Defoe
