team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20
3.0,2.0,58.0,90.0,2274.0,15.5,2.0,2.0,1.0,8.0,30.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,513.0,598.2,159.7,364.0,112.4,1.4,Shkodran,Mustafi,3.0,2.0,54.0,109.0,2272.0,20.2,3.0,1.0,2.0,10.0,30.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0,610.0,836.6,129.9,202.0,117.0,4.2,3.0,2.0,54.0,80.0,2611.0,14.8,2.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,475.0,718.6,106.0,252.0,107.8,1.3,3,2,51,43,1205,8.4,0,2,0,4,17,0,0,0,2,0,0,2,242,277.2,257,100,45.5,352,122,155.0,234,58,47.9,313,106,0.4
3.0,2.0,65.0,119.0,2503.0,18.3,1.0,5.0,2.0,10.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,569.0,437.6,508.3,395.0,133.8,13.9,Héctor,Bellerín,3.0,2.0,59.0,132.0,3050.0,22.4,2.0,4.0,2.0,12.0,44.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,656.0,554.0,561.0,484.0,160.1,10.3,3.0,2.0,53.0,60.0,1532.0,11.3,0.0,5.0,0.0,4.0,21.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,304.0,261.6,197.8,280.0,73.7,4.5,3,2,52,44,1156,8.5,1,0,0,4,18,0,0,0,2,0,0,4,204,187.8,322,124,76.9,301,95,103.0,275,81,37.0,339,122,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,52,55,1694,10.6,0,2,0,4,26,0,0,0,4,0,0,1,331,269.6,264,104,182.5,215,52,81.0,305,98,53.0,293,96,0.5
3.0,3.0,45.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.2,0.0,Ainsley,Maitland-Niles,3.0,3.0,45.0,25.0,908.0,5.6,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,160.0,168.4,141.3,67.0,37.8,0.1,3.0,3.0,44.0,34.0,983.0,7.7,1.0,1.0,0.0,2.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,152.0,224.2,98.9,126.0,44.8,0.4,3,2,45,41,1382,9.1,0,2,1,3,22,0,0,0,4,1,0,3,244,301.8,241,94,182.0,216,53,58.0,337,119,53.6,287,94,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,48,57,1696,11.9,2,0,1,4,25,0,0,0,6,0,0,5,305,436.2,166,62,36.8,365,130,110.0,266,76,58.5,275,88,1.3
3.0,2.0,59.0,115.0,3153.0,19.5,0.0,3.0,1.0,11.0,43.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,681.0,554.0,280.3,220.0,105.8,6.4,Nacho,Monreal,3.0,2.0,57.0,130.0,2241.0,22.8,5.0,2.0,3.0,10.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,604.0,693.6,238.7,305.0,124.0,8.0,3.0,2.0,54.0,77.0,1860.0,14.3,1.0,4.0,1.0,5.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,392.0,413.2,196.6,224.0,83.4,1.3,3,2,50,10,270,2.0,0,0,0,1,4,0,0,0,0,0,0,1,54,47.2,424,160,40.8,358,126,12.0,412,152,10.0,423,156,0.2
3.0,2.0,61.0,121.0,2821.0,19.8,2.0,1.0,3.0,10.0,37.0,0.0,0.0,0.0,4.0,1.0,0.0,19.0,723.0,831.2,53.9,239.0,112.7,11.2,Laurent,Koscielny,3.0,2.0,60.0,100.0,2225.0,16.7,2.0,0.0,3.0,9.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,556.0,692.0,123.8,137.0,95.5,1.5,3.0,2.0,54.0,62.0,1329.0,11.5,3.0,0.0,1.0,3.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,319.0,456.4,29.5,105.0,59.1,0.9,3,2,50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,647,221,0.0,643,221,0.0,639,220,0.0,649,221,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,43,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,585,217,0.0,572,217,0.0,552,211,0.0,587,217,0.0
3.0,2.0,48.0,2.0,82.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.4,2.0,0.0,2.1,0.1,Carl,Jenkinson,3.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,2.0,45.0,4.0,165.0,0.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.8,16.9,8.0,5.2,0.0,3,2,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,599,218,0.0,590,218,0.0,575,214,0.0,602,218,0.0
3.0,2.0,41.0,32.0,810.0,7.8,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,171.0,172.0,49.2,100.0,32.2,3.3,Rob,Holding,3.0,2.0,44.0,27.0,819.0,6.1,0.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,196.0,212.2,39.3,24.0,27.5,0.7,3.0,2.0,43.0,24.0,806.0,5.6,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,148.0,187.8,28.7,14.0,23.2,0.4,3,2,44,16,580,3.6,0,0,0,1,9,0,0,0,1,0,0,2,96,133.6,355,138,4.8,441,164,19.0,396,145,15.8,407,150,0.2
