team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,team_code_20_21,element_type_20_21,now_cost_20_21,total_points_20_21,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21,first_name,second_name
3,3,95,167,2841,17.6,8,11,3,12,30,0,0,0,2,0,0,19,729,834.4,1649.3,734,322,7.5,3,3,93,112,2161,12,4,9,2,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555,248.6,2.1,3,3,79,89,1732,11.3,5,3,2,5,24,0,0,0,2,0,0,9,363,429.6,714.2,254,140,2.6,3,3,69,53,1439,7.7,1,3,0,5,20,0,0,0,1,0,0,1,256,223.6,300,126,582.9,39,32,190,205,110,99.8,153,79,1.1,3,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,295,0,713,295,0,713,295,0,713,295,0.5,Mesut,Özil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,51,64,2198,12.5,1,2,1,5,33,0,0,0,12,0,0,4,402,513.8,67.9,120,70.4,1.2,3,2,48,57,1696,11.9,2,0,1,4,25,0,0,0,6,0,0,5,305,436.2,166,62,36.8,365,130,110,266,76,58.5,275,88,1.3,3,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,240,0,674,241,0,667,238,0,685,240,0.1,Sokratis,Papastathopoulos
8,2,62,132,2954,21.3,1,1,1,15,26,0,0,0,6,0,0,10,675,651,158.1,280,109.1,5,8,2,57,32,838,5.6,1,2,0,3,13,0,0,0,3,1,0,0,186,210.2,22.3,65,29.6,8.1,8,2,58,164,3238,28.3,3,2,4,16,36,0,0,0,3,0,0,19,794,859,358.7,363,158,11.7,3,2,57,94,2809,16.5,2,1,2,8,42,0,0,0,5,2,0,10,494,701.6,53,18,106.7,271,78,211,190,37,102.1,148,39,5.1,3,2,54,41,1396,7.6,1,0,0,3,20,0,0,0,1,1,0,0,230,250.6,264,101,46.7,346,119,144,244,70,43.9,310,105,0.8,David,Luiz Moreira Marinho
,,,,,,,,,,,,,,,,,,,,,,,,3,4,108,87,1056,8.1,10,4,2,4,15,0,0,1,0,0,0,12,354,484,207.1,580,127.1,14,3,4,108,205,2722,19,22,7,5,7,42,0,0,1,0,0,0,32,756,984.4,484.6,1429,289.6,18.8,3,4,109,205,3136,18.8,22,5,5,10,44,0,0,0,3,1,0,37,807,1006,9,3,479.6,61,5,1369,9,7,285.2,11,5,22.4,3,3,113,131,2330,11.6,10,3,3,10,26,1,0,0,2,0,0,11,358,493.8,136,49,361.5,101,71,823,34,18,167.4,52,31,7.2,Pierre-Emerick,Aubameyang
20,2,49,102,2515,20.8,0,3,1,11,36,0,0,0,7,0,0,11,584,591,648.9,155,139.6,2.7,20,2,47,85,2794,18.1,0,3,1,7,44,0,0,0,3,0,0,2,481,507,455.6,159,112.3,4,20,2,42,52,1493,12.4,1,2,1,4,31,0,0,0,4,0,0,7,273,309,226.5,103,63.9,2.1,3,2,48,61,1553,12.7,1,1,0,4,20,0,0,0,1,0,0,3,286,349,214,81,218.9,186,42,118,265,75,68.7,237,70,0.4,3,2,46,28,744,6.1,0,1,0,2,11,0,0,0,1,0,0,3,125,110.8,366,140,114.8,249,65,66,330,110,29.2,356,125,0.3,Cédric,Soares
,,,,,,,,,,,,,,,,,,,,,,,,3,4,103,138,2197,13.4,14,5,2,10,28,0,0,0,1,0,0,11,543,725.6,566,1291,258,7.6,3,4,94,166,2497,17.7,13,12,1,6,31,0,0,0,2,0,0,20,560,808,482.4,1319,260.6,11.4,3,4,92,118,1867,12.8,10,7,2,5,25,0,0,0,8,0,0,16,387,536.4,112,15,337.7,124,19,861,35,19,173.8,50,19,2.4,3,4,84,129,1916,15.4,13,3,4,7,21,0,0,0,3,0,0,21,452,602.4,69,8,307.4,133,18,797,38,18,170.4,50,17,4.3,Alexandre,Lacazette
3,2,58,90,2274,15.5,2,2,1,8,30,0,0,0,11,0,0,8,513,598.2,159.7,364,112.4,1.4,3,2,54,109,2272,20.2,3,1,2,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202,117,4.2,3,2,54,80,2611,14.8,2,0,0,6,40,0,0,0,9,0,0,5,475,718.6,106,252,107.8,1.3,3,2,51,43,1205,8.4,0,2,0,4,17,0,0,0,2,0,0,2,242,277.2,257,100,45.5,352,122,155,234,58,47.9,313,106,0.4,3,2,50,3,45,0.6,0,0,0,0,1,0,0,0,0,0,0,0,16,11.6,473,177,1,462,176,0,691,245,1.3,488,180,0,Shkodran,Mustafi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,49,106,2835,21.6,0,0,1,6,42,0,0,0,0,0,105,5,568,807.2,0,0,80.5,4,3,1,48,114,2649,23.8,0,0,1,7,39,0,1,0,2,0,113,10,591,843.2,25,8,0,635,66,0,629,63,84.1,190,8,4.2,3,1,50,131,3131,26.2,0,0,2,11,37,1,1,0,0,1,86,11,625,702.2,45,14,0,695,74,2,448,5,70.3,231,15,7.3,Bernd,Leno
3,3,52,85,2483,16.3,2,3,1,10,32,0,0,0,5,2,0,7,506,488.8,626.2,193,130.8,3.2,3,3,51,109,3259,21.4,1,8,1,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378,195.3,7,3,3,52,90,2498,17.3,4,3,1,7,37,0,0,0,10,0,0,8,452,634.6,674,215,152.6,2.3,3,3,51,73,2586,14.3,1,2,0,10,31,0,0,0,10,0,0,2,408,486.2,140,53,298.5,140,86,110,267,136,89.9,177,90,0.8,3,3,52,70,2519,13.5,1,2,0,10,27,0,0,0,7,1,0,1,396,456,160,60,327.6,116,79,154,232,118,94,159,88,0.4,Granit,Xhaka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,44,8,113,1.8,0,0,0,1,0,0,0,0,0,0,0,1,31,27.8,445,167,1.7,457,173,0,556,212,3,467,172,0,3,2,44,34,900,7.7,0,0,0,4,8,0,0,0,2,0,0,1,182,163.2,326,125,26.4,379,137,16,400,153,20.6,384,135,0.1,Pablo,Marí
