team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,team_code_20_21,element_type_20_21,now_cost_20_21,total_points_20_21,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21,team_code_21_22,element_type_21_22,now_cost_21_22,total_points_21_22,minutes_21_22,value_season_21_22,goals_scored_21_22,assists_21_22,dreamteam_count_21_22,clean_sheets_21_22,goals_conceded_21_22,own_goals_21_22,penalties_saved_21_22,penalties_missed_21_22,yellow_cards_21_22,red_cards_21_22,saves_21_22,bonus_21_22,bps_21_22,influence_21_22,influence_rank_21_22,influence_rank_type_21_22,creativity_21_22,creativity_rank_21_22,creativity_rank_type_21_22,threat_21_22,threat_rank_21_22,threat_rank_type_21_22,ict_index_21_22,ict_index_rank_21_22,ict_index_rank_type_21_22,selected_by_percent_21_22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,45,10,360,2.2,0,0,1,1,9,0,0,0,0,0,10,0,69,85.0,400,29,0.0,614,69,0.0,598,60,8.5,442,30,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,537,55,0.0,523,34,0.0,490,19,0.0,541,55,0.5
8.0,3.0,70.0,114.0,1534.0,16.3,8.0,3.0,4.0,6.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,441.0,491.4,809.4,522.0,182.1,3.5,Willian,Borges Da Silva,8.0,3.0,70.0,130.0,1874.0,18.6,6.0,8.0,3.0,9.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,522.0,640.0,891.5,715.0,224.5,12.6,8.0,3.0,71.0,108.0,2091.0,15.2,3.0,7.0,0.0,11.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,475.0,557.6,1165.5,742.0,246.7,3.8,8.0,3.0,73.0,168.0,2595.0,23.0,9.0,9.0,7.0,10.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,26.0,698.0,834.8,26.0,7.0,1177.7,7.0,6.0,930.0,30.0,14.0,294.6,8.0,5.0,10.7,3.0,3.0,75.0,78.0,1398.0,10.4,1.0,7.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,306.0,256.2,260.0,111.0,534.8,52.0,39.0,228.0,171.0,94.0,102.3,139.0,79.0,2.7,3,3,63,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,733,307,0.0,733,307,0.0,733,307,0.0,733,307,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,96,44,1036,4.6,4,1,0,6,16,0,0,2,3,0,0,7,131,217.6,294,36,132.4,249,39,582.0,57,25,92.9,176,33,1.2
20.0,2.0,49.0,102.0,2515.0,20.8,0.0,3.0,1.0,11.0,36.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,584.0,591.0,648.9,155.0,139.6,2.7,Cédric,Soares,20.0,2.0,47.0,85.0,2794.0,18.1,0.0,3.0,1.0,7.0,44.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,481.0,507.0,455.6,159.0,112.3,4.0,20.0,2.0,42.0,52.0,1493.0,12.4,1.0,2.0,1.0,4.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,273.0,309.0,226.5,103.0,63.9,2.1,3.0,2.0,48.0,61.0,1553.0,12.7,1.0,1.0,0.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,286.0,349.0,214.0,81.0,218.9,186.0,42.0,118.0,265.0,75.0,68.7,237.0,70.0,0.4,3.0,2.0,46.0,28.0,744.0,6.1,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,125.0,110.8,366.0,140.0,114.8,249.0,65.0,66.0,330.0,110.0,29.2,356.0,125.0,0.3,3,2,42,48,1481,11.4,1,1,1,3,27,0,0,0,3,0,0,3,292,246.0,274,103,306.5,131,28,76.0,322,105,63.0,263,87,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,81,90,1773,11.1,4,8,1,10,17,0,0,1,0,0,0,3,295,376.6,188,19,385.7,101,13,724.0,42,16,148.3,66,17,3.1
3.0,3.0,52.0,85.0,2483.0,16.3,2.0,3.0,1.0,10.0,32.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,506.0,488.8,626.2,193.0,130.8,3.2,Granit,Xhaka,3.0,3.0,51.0,109.0,3259.0,21.4,1.0,8.0,1.0,12.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,593.0,753.4,822.8,378.0,195.3,7.0,3.0,3.0,52.0,90.0,2498.0,17.3,4.0,3.0,1.0,7.0,37.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,452.0,634.6,674.0,215.0,152.6,2.3,3.0,3.0,51.0,73.0,2586.0,14.3,1.0,2.0,0.0,10.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,408.0,486.2,140.0,53.0,298.5,140.0,86.0,110.0,267.0,136.0,89.9,177.0,90.0,0.8,3.0,3.0,52.0,70.0,2519.0,13.5,1.0,2.0,0.0,10.0,27.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,396.0,456.0,160.0,60.0,327.6,116.0,79.0,154.0,232.0,118.0,94.0,159.0,88.0,0.4,3,3,48,60,2327,12.5,1,2,0,6,38,0,0,0,10,1,0,3,334,382.2,184,68,489.6,65,49,253.0,174,97,112.6,119,69,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,42,1,180,0.2,0,0,0,0,4,0,0,0,1,0,0,0,35,55.4,419,159,12.3,426,158,11.0,419,158,7.9,444,160,0.1
3.0,2.0,65.0,119.0,2503.0,18.3,1.0,5.0,2.0,10.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,569.0,437.6,508.3,395.0,133.8,13.9,Héctor,Bellerín,3.0,2.0,59.0,132.0,3050.0,22.4,2.0,4.0,2.0,12.0,44.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,656.0,554.0,561.0,484.0,160.1,10.3,3.0,2.0,53.0,60.0,1532.0,11.3,0.0,5.0,0.0,4.0,21.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,304.0,261.6,197.8,280.0,73.7,4.5,3.0,2.0,52.0,44.0,1156.0,8.5,1.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,204.0,187.8,322.0,124.0,76.9,301.0,95.0,103.0,275.0,81.0,37.0,339.0,122.0,1.0,3.0,2.0,50.0,94.0,2089.0,18.8,1.0,3.0,3.0,7.0,24.0,0.0,0.0,0.0,8.0,0.0,0.0,17.0,421.0,362.8,204.0,81.0,351.8,107.0,22.0,232.0,170.0,32.0,94.7,158.0,39.0,3.5,3,2,48,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,701,245,0.0,700,245,0.0,688,244,0.0,701,245,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,42,0,91,0.0,0,0,0,0,5,0,0,0,1,0,0,0,6,4.2,492,180,0.2,489,181,0.0,551,227,0.4,509,180,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,44,27,801,6.1,0,2,0,0,17,0,0,0,1,0,0,0,156,147.8,353,144,124.5,263,148,40.0,370,180,31.3,355,159,0.4
