team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,assists_gw1_17_18,attempted_passes_gw1_17_18,big_chances_created_gw1_17_18,big_chances_missed_gw1_17_18,bonus_gw1_17_18,bps_gw1_17_18,clean_sheets_gw1_17_18,clearances_blocks_interceptions_gw1_17_18,completed_passes_gw1_17_18,creativity_gw1_17_18,dribbles_gw1_17_18,ea_index_gw1_17_18,errors_leading_to_goal_gw1_17_18,errors_leading_to_goal_attempt_gw1_17_18,fouls_gw1_17_18,goals_conceded_gw1_17_18,goals_scored_gw1_17_18,ict_index_gw1_17_18,influence_gw1_17_18,key_passes_gw1_17_18,loaned_in_gw1_17_18,loaned_out_gw1_17_18,minutes_gw1_17_18,offside_gw1_17_18,open_play_crosses_gw1_17_18,opponent_team_gw1_17_18,own_goals_gw1_17_18,penalties_conceded_gw1_17_18,penalties_missed_gw1_17_18,penalties_saved_gw1_17_18,recoveries_gw1_17_18,red_cards_gw1_17_18,saves_gw1_17_18,selected_gw1_17_18,tackled_gw1_17_18,tackles_gw1_17_18,target_missed_gw1_17_18,team_a_score_gw1_17_18,team_h_score_gw1_17_18,threat_gw1_17_18,total_points_gw1_17_18,transfers_balance_gw1_17_18,transfers_in_gw1_17_18,transfers_out_gw1_17_18,value_gw1_17_18,winning_goals_gw1_17_18,yellow_cards_gw1_17_18,team_code_17_18_gw1_17_18
21.0,2.0,51.0,60.0,2115.0,11.8,0.0,2.0,0.0,5.0,35.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,334.0,307.6,284.7,121.0,71.2,0.3,Aaron,Cresswell,0,10,0,0,0,3,0,0,9,0.6,0,0,0,0,0,2,0,1.9,0.4,0,0,0,9,0,0,12,0,0,0,0,0,0,0,25136,0,0,0,0,4,18.0,0,0,0,0,50,0,0,21
11.0,3.0,55.0,22.0,509.0,4.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,78.0,93.4,54.0,22.3,0.2,Aaron,Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4681,0,0,0,0,1,0.0,0,0,0,0,55,0,0,90
,,,,,,,,,,,,,,,,,,,,,,,,Aaron,Mooy,1,52,0,0,0,22,1,5,41,46.9,0,0,0,0,0,0,0,8.7,40.2,3,0,0,90,0,1,6,0,0,0,0,5,0,0,59955,2,0,0,3,0,0.0,6,0,0,0,55,0,0,38
3.0,3.0,76.0,56.0,1236.0,7.4,1.0,4.0,0.0,4.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,240.0,257.2,361.2,496.0,111.3,1.1,Aaron,Ramsey,0,11,0,1,0,16,0,0,8,11.2,0,0,0,0,0,0,1,6.7,29.6,1,0,0,23,0,0,9,0,0,0,0,2,0,0,33792,0,0,3,3,4,26.0,6,0,0,0,70,0,0,3
57.0,3.0,46.0,38.0,1352.0,8.3,1.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,226.0,179.4,178.2,254.0,61.1,0.0,Abdoulaye,Doucouré,0,73,0,0,2,36,0,3,60,25.2,3,0,0,0,2,3,1,10.9,48.6,2,0,0,90,0,0,10,0,0,0,0,11,0,0,1207,1,1,0,3,3,35.0,9,0,0,0,50,0,0,57
91.0,1.0,44.0,8.0,180.0,1.8,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,37.0,34.4,0.0,0.0,3.5,0.1,Adam,Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,224542,0,0,0,0,1,0.0,0,0,0,0,40,0,0,91
14.0,3.0,67.0,139.0,2338.0,20.7,8.0,7.0,3.0,9.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,543.0,679.4,693.0,825.0,219.5,9.1,Adam,Lallana,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,45019,0,0,0,3,3,0.0,0,0,0,0,75,0,0,14
91.0,2.0,46.0,104.0,3101.0,22.6,1.0,5.0,1.0,8.0,61.0,1.0,0.0,0.0,6.0,0.0,0.0,12.0,645.0,566.6,509.8,242.0,132.1,7.0,Adam,Smith,0,6,0,0,0,2,0,1,6,0.6,0,0,0,0,0,0,0,0.3,2.2,0,0,0,10,0,0,19,0,0,0,0,0,0,0,50168,1,0,0,0,1,0.0,1,0,0,0,50,0,0,91
11.0,3.0,50.0,16.0,289.0,3.2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,55.8,15.5,193.0,26.1,0.0,Ademola,Lookman,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8034,0,0,0,0,1,0.0,0,0,0,0,55,0,0,11
57.0,2.0,40.0,15.0,562.0,3.8,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,121.0,162.6,12.7,26.0,20.1,0.4,Adrian,Mariappa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,171365,0,0,0,3,3,0.0,0,0,0,0,40,0,0,57
